# multipoles
# s[mm] polynom_a[n=0][T/m^n] polynom_a[n=1][T/m^n] polynom_a[n=2][T/m^n] polynom_a[n=3][T/m^n] polynom_a[n=4][T/m^n] polynom_a[n=6][T/m^n] polynom_a[n=7][T/m^n] polynom_a[n=8][T/m^n] polynom_a[n=9][T/m^n] polynom_a[n=10][T/m^n] polynom_a[n=13][T/m^n] 
+0.0000000000000000e+00 -2.5287554697074753e-06 +6.2820799650036718e-01 -4.7055294068307753e-02 -2.7377985723858496e+03 +2.7482486182899670e+03 -4.5430761549280457e+07 +4.7578904714988375e+09 +3.1487614654543042e+11 +3.3665911958328730e+13 -7.0582946853335888e+14 -2.3746078629454119e+20 
+1.0000000000000001e-01 -2.5270669710746741e-06 +6.2820884062329230e-01 -4.7299815855350459e-02 -2.7378159642429669e+03 +2.7652336078845487e+03 -4.5865615950591110e+07 +4.7586271125811539e+09 +3.1940966236428552e+11 +3.3672838558179262e+13 -7.2185721226112262e+14 -2.3794065438123026e+20 
+2.0000000000000001e-01 -2.5225266517322581e-06 +6.2821120240035011e-01 -4.7935712977713596e-02 -2.7378660645557825e+03 +2.8093847991762304e+03 -4.7006072835332297e+07 +4.7618893930383577e+09 +3.3143690379512079e+11 +3.3679615903609785e+13 -7.6481144170248875e+14 -2.3905238526659310e+20 
+3.0000000000000004e-01 -2.5159222777302743e-06 +6.2821482594392786e-01 -4.8816482711196027e-02 -2.7379457604345162e+03 +2.8704965073922554e+03 -4.8605972387202054e+07 +4.7692558478939838e+09 +3.4859790925086237e+11 +3.3665240320959121e+13 -8.2699864744409688e+14 -2.4030416901502992e+20 
+4.0000000000000002e-01 -2.5080416126471325e-06 +6.2821945536677193e-01 -4.9795623165827960e-02 -2.7380519390067839e+03 +2.9383630934065391e+03 -5.0419155669841103e+07 +4.7823050180332584e+09 +3.6853272408662750e+11 +3.3608708084391676e+13 -9.0072533925451300e+14 -2.4120419489353600e+20 
+5.0000000000000000e-01 -2.4996724220479210e-06 +6.2822483478121149e-01 -5.0726631773840153e-02 -2.7381814873802955e+03 +3.0027788810125057e+03 -5.2199463033910535e+07 +4.8026154377905779e+09 +3.8888138804936627e+11 +3.3489015525874676e+13 -9.7829801145078012e+14 -2.4126065304101434e+20 
+6.0000000000000009e-01 -2.4916024711553460e-06 +6.2823070829987382e-01 -5.1463006058844900e-02 -2.7383312926767685e+03 +3.0535381978298237e+03 -5.3700734885759681e+07 +4.8317656460089607e+09 +4.0728394121196606e+11 +3.3285158937915219e+13 -1.0520231589983280e+15 -2.3998173300848207e+20 
+7.0000000000000007e-01 -2.4846195239380205e-06 +6.2823682003518633e-01 -5.1858244013082228e-02 -2.7384982420087185e+03 +3.0804353988456851e+03 -5.4676812183647774e+07 +4.8713341786375637e+09 +4.2138042814759039e+11 +3.2976134638145289e+13 -1.1142072896133644e+15 -2.3687562471676029e+20 
+8.0000000000000004e-01 -2.4795113461411437e-06 +6.2824291409978728e-01 -5.1765842988159665e-02 -2.7386792224984838e+03 +3.0732648025929402e+03 -5.4881535164376311e+07 +4.9228995747566538e+09 +4.2881088762870618e+11 +3.2540938916884383e+13 -1.1571568947534618e+15 -2.3145051768180464e+20 
+9.0000000000000002e-01 -2.4770657022901307e-06 +6.2824873460603003e-01 -5.1039300791291417e-02 -2.7388711212544654e+03 +3.0218207540317289e+03 -5.4068744593924738e+07 +4.9880403687770586e+09 +4.2721536271592310e+11 +3.1958568105820480e+13 -1.1731784779622410e+15 -2.2321460204649615e+20 
