# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
S15-004   +9.995950e+00   +8.603220e-07 +8.220117e-05 -2.338166e+00 -1.572309e-02 -2.907228e+00 -1.177972e+02 -1.271063e+04 -1.454301e+04 +1.204346e+09 +8.404178e+07 +5.965189e+09 +1.520821e+13 +5.756372e+14 -3.371379e+16 -2.969125e+20   +2.731795e-07 +1.461739e-04 +5.982903e-04 -3.194139e-02 -2.738793e+00 +3.936430e+01 +8.256047e+03 -4.898687e+05 -4.455206e+08 +2.144360e+09 -1.430248e+10 +7.034631e+12 -5.125710e+14 +1.897099e+17 +7.856446e+19   
S15-006   +9.995800e+00   +5.825291e-07 +8.438450e-05 -2.347948e+00 -4.240943e-02 -8.632849e+00 -2.393477e+00 -2.092220e+04 -4.925161e+05 +1.216661e+09 +5.343197e+08 -4.293923e+10 +1.254505e+13 +1.459998e+15 +1.681350e+17 -2.922457e+20   +8.682378e-08 +1.093757e-04 +1.739350e-03 -5.598714e-02 +8.483375e-01 -1.404702e+01 -1.329746e+03 -1.251739e+05 -4.269394e+08 +2.481184e+09 +6.042361e+10 -6.513136e+12 -9.730639e+14 +3.414338e+16 +7.620760e+19   
S15-008   +9.996100e+00   +5.096890e-07 +5.440723e-05 -2.354587e+00 -2.329492e-02 -5.341819e+00 +8.222243e+01 -1.657726e+04 +3.475381e+05 +1.268302e+09 +5.134249e+08 +4.015739e+10 -1.565431e+12 +1.155680e+15 +1.241239e+16 -3.334818e+20   +2.400632e-07 +1.138415e-04 +4.465113e-04 -1.553717e-02 -6.352866e+00 +2.280554e+01 +9.900159e+03 -1.588653e+05 -1.993399e+08 -2.515038e+09 +1.611971e+11 +1.061223e+13 +1.582510e+14 +1.392344e+17 +2.211800e+19   
S15-009   +9.996250e+00   +4.317824e-07 +9.078651e-05 -2.353231e+00 -3.195101e-02 -1.051041e+01 -4.084672e+01 -1.792700e+04 -3.728387e+05 +1.263262e+09 -1.179422e+09 +1.003283e+11 +9.473219e+12 -3.045567e+14 +6.101976e+14 -3.228057e+20   +3.012357e-07 +1.047302e-04 -7.137468e-04 -2.954616e-02 +1.713237e+00 +3.423213e+01 -9.283509e+03 -1.745518e+05 -2.140173e+08 +2.319048e+09 +3.481896e+11 +5.034643e+12 -1.952732e+13 +7.955788e+16 +3.315804e+19   
S15-010   +9.995900e+00   +6.913165e-07 +1.210139e-04 -2.349627e+00 +2.982362e-02 -3.654742e+00 +6.008629e+01 -7.064388e+03 -1.807702e+04 +1.350607e+09 -2.327037e+09 +1.300790e+10 +3.667794e+12 +9.508305e+14 +1.049426e+17 -3.416144e+20   +1.416090e-07 +9.477255e-05 -6.080172e-04 -2.434797e-02 +6.005949e+00 -2.305570e+01 -9.358920e+03 +4.062112e+04 -4.005842e+07 -1.601922e+09 -4.824854e+10 +5.779698e+12 +9.022213e+13 +6.365005e+16 -4.287777e+18   
S15-014   +9.996300e+00   +7.223305e-07 +9.837786e-05 -2.345364e+00 -1.642780e-02 -1.477787e+01 -1.084762e+02 -3.418364e+04 -5.810595e+05 +1.321672e+09 -1.316487e+09 +4.843070e+10 +1.557965e+13 +3.868618e+15 +2.598186e+17 -3.356388e+20   +2.879511e-07 +1.248320e-04 -1.193958e-04 +1.570801e-02 -8.701094e-03 -3.359401e+01 -2.849408e+03 -7.099761e+05 -1.980890e+08 +2.538047e+09 +1.363314e+11 +5.311688e+13 -1.967729e+14 +4.974599e+16 +1.571834e+19   
S15-016   +9.996050e+00   +4.891868e-07 +6.292669e-05 -2.341449e+00 -1.088360e-01 -3.292439e+00 -4.080948e+01 -8.953512e+03 -1.254474e+05 +1.405713e+09 +1.406309e+09 -5.574188e+10 +9.265836e+12 +3.161955e+14 +5.528352e+16 -3.361895e+20   +2.070362e-07 +1.168689e-04 -1.170530e-03 -1.314495e-02 +8.261192e-01 +3.511231e+01 +3.733406e+03 -2.017580e+05 -3.550516e+07 -2.092522e+09 +3.722994e+10 +6.661995e+12 -9.300635e+14 +1.249178e+17 +5.068698e+17   
S15-017   +9.996000e+00   +6.887870e-07 +1.006668e-04 -2.341209e+00 -7.717881e-02 -1.713051e+00 -1.507020e+02 -6.177063e+03 -3.031356e+05 +1.415571e+09 +1.532271e+09 +7.353623e+10 +4.606663e+12 +2.745196e+14 +1.011258e+17 -3.365343e+20   +2.106746e-07 +1.426724e-04 -2.292150e-03 -4.465220e-02 +2.736215e+00 +4.053368e+01 -1.219348e+03 -4.598850e+04 -3.251769e+07 -1.717514e+09 +5.753073e+10 +2.984814e+12 -2.285060e+14 +1.203638e+17 -5.918015e+18   
S15-018   +9.996000e+00   +7.194187e-07 +1.100696e-04 -2.345364e+00 -3.457249e-02 -4.750389e-01 +5.610872e+01 -1.427766e+03 -1.220257e+05 +1.272623e+09 +1.783239e+09 -2.614655e+09 -2.429884e+12 +7.364683e+14 +1.089977e+17 -3.170478e+20   +1.496148e-07 +1.479619e-04 +6.977934e-04 -5.825517e-02 -7.765649e-01 -8.500816e+00 +1.395465e+02 +1.010610e+05 -2.958993e+08 -3.711862e+08 +2.478255e+11 +2.140633e+13 -9.647179e+14 +8.144044e+16 +4.149908e+19   
S15-021   +9.996000e+00   +8.851205e-07 +1.117137e-04 -2.343146e+00 -4.396777e-02 -3.897109e+00 +3.510692e+02 -1.055035e+04 -7.528567e+04 +1.442933e+09 +7.353258e+07 +4.918249e+09 +4.699556e+12 +4.788194e+14 +1.280154e+17 -3.414198e+20   +2.578094e-07 +1.106290e-04 -8.254325e-04 -1.442769e-02 +9.879802e-01 +1.960466e+00 +1.815889e+02 -2.350136e+05 -3.641981e+07 -2.567608e+08 +7.271491e+10 +8.111962e+12 -2.790327e+14 +1.106515e+17 +2.219159e+18   
