# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
S15-004   +1.677973e+02   +4.423531e-07 +7.890473e-05 -2.147765e+00 -1.349962e-02 +5.824314e-01 -1.078844e+02 -5.424434e+03 +7.947464e+04 +1.213108e+09 +5.305323e+08 -2.729584e+09 +1.202245e+13 +4.739066e+14 -7.222715e+15 -2.812636e+20   -9.166906e-08 +1.364711e-04 +6.470646e-04 -3.799507e-02 -9.816779e-01 +3.342871e+01 +4.968427e+03 -4.589509e+05 -4.180873e+08 +2.530718e+09 +9.945089e+10 -2.296915e+12 -4.314000e+14 +1.551060e+17 +6.827708e+19   
S15-006   +1.677977e+02   +1.459859e-07 +8.130624e-05 -2.160462e+00 -2.684882e-02 -6.824688e+00 +2.813411e+01 -1.777808e+04 -2.171784e+05 +1.247409e+09 -6.328954e+07 -4.083173e+10 +7.950788e+12 +1.379452e+15 +5.999856e+16 -2.867983e+20   +1.299054e-08 +9.917913e-05 +1.603316e-03 -5.296530e-02 -3.687092e-01 +7.248306e+00 +6.219769e+01 -1.190987e+05 -3.882342e+08 +3.260742e+09 -8.629576e+10 -8.445730e+12 -1.946420e+14 +6.737291e+16 +6.156264e+19   
S15-008   +1.677984e+02   +1.061226e-07 +3.892785e-05 -2.146541e+00 -4.557936e-02 -4.806256e+00 +4.570733e+01 -1.527285e+04 +8.406814e+04 +1.271383e+09 +1.434956e+08 +5.807221e+10 +3.885891e+12 +1.104755e+15 +2.793664e+16 -3.053011e+20   +1.722472e-07 +9.761762e-05 +4.414726e-04 +9.716523e-03 -7.693983e+00 +1.514045e+01 +1.192797e+04 -2.663627e+05 -1.630160e+08 -1.424927e+09 +9.147823e+10 -1.658497e+12 -3.795110e+14 +7.109192e+16 +1.644104e+19   
S15-009   +1.677974e+02   +2.250426e-07 +8.213453e-05 -2.147499e+00 -3.425191e-02 -5.027684e+00 -3.134622e+01 -1.323342e+04 -1.643509e+05 +1.271125e+09 +8.901407e+08 -2.235696e+10 +2.311027e+12 +6.252332e+14 +6.331594e+16 -3.054991e+20   -1.250180e-08 +9.653672e-05 -6.232594e-04 -2.100770e-02 +2.501700e+00 +3.497777e+01 -6.741338e+03 -1.900001e+05 -1.832831e+08 +4.550249e+08 +8.472372e+10 -2.256723e+11 +3.457931e+14 +3.455290e+16 +2.823122e+19   
S15-010   +1.677970e+02   +3.375031e-07 +1.058664e-04 -2.146609e+00 +1.171874e-02 -2.790881e-01 +6.348743e+01 -2.428641e+03 -8.189556e+04 +1.334145e+09 -2.007877e+08 -3.447706e+10 +3.397906e+12 +3.255020e+14 +8.594868e+16 -3.214257e+20   -5.472430e-08 +7.743917e-05 -8.769322e-05 +8.138381e-03 +4.521524e+00 -2.257223e+00 -8.500396e+03 +2.108026e+04 -1.359239e+08 -1.447622e+09 -1.021074e+11 +1.410961e+12 +9.217894e+13 +4.605497e+16 +9.178889e+18   
S15-014   +1.677976e+02   +2.426833e-07 +7.295420e-05 -2.141896e+00 -3.155951e-02 -1.204163e+01 -1.108746e+02 -3.377363e+04 -5.592679e+05 +1.330791e+09 -3.331939e+08 -6.699416e+10 +1.732223e+13 +4.008011e+15 +2.130216e+17 -3.075990e+20   -2.617877e-08 +1.233287e-04 -6.543401e-05 -2.037792e-02 -2.081604e-01 -6.404925e+01 -2.099587e+03 -7.362888e+05 -1.883991e+08 +1.119699e+09 +1.296934e+11 +3.759593e+13 +2.719619e+14 +2.290669e+16 +1.028825e+19   
S15-016   +1.677985e+02   -9.722584e-08 +6.713963e-05 -2.141423e+00 -7.571581e-02 -6.638134e+00 -6.788797e+01 -1.296431e+04 -1.786708e+05 +1.432292e+09 +7.906376e+08 +2.741365e+10 +1.366069e+12 +6.452602e+14 +7.123163e+16 -3.179952e+20   -9.166250e-09 +1.118384e-04 -8.533783e-04 -3.848044e-02 +8.582461e-02 +2.233590e+01 +3.390104e+03 -1.068171e+04 -3.454168e+07 -6.641204e+08 +4.684471e+10 -9.850708e+11 -6.643158e+14 +9.264231e+16 +5.521888e+16   
S15-017   +1.677974e+02   +1.768475e-07 +8.969597e-05 -2.141633e+00 -6.966270e-02 -2.004231e+00 -1.269278e+02 -4.440443e+03 -1.001188e+05 +1.434442e+09 -7.184623e+06 +5.517807e+10 +2.362346e+12 +2.096991e+14 +1.182436e+17 -3.145633e+20   +3.111711e-08 +1.270738e-04 -1.487096e-03 -4.220321e-02 +1.384127e+00 +3.302259e+01 -4.027917e+02 -3.786909e+04 -7.591828e+07 -1.396185e+09 +6.647022e+10 +5.044658e+11 -2.120766e+14 +8.100459e+16 -1.659032e+19   
S15-018   +1.677970e+02   +2.564740e-07 +1.133161e-04 -2.142721e+00 +2.483665e-02 +3.280923e-01 +7.870623e+01 -2.573865e+03 -8.217215e+04 +1.295504e+09 +3.984200e+08 +2.960592e+09 +6.150837e+11 +5.568274e+14 +1.217964e+17 -2.916152e+20   -2.431192e-07 +1.380056e-04 +7.250869e-04 -7.130360e-02 +1.438123e+00 -1.005994e+01 -8.209527e+01 +5.981060e+04 -2.772360e+08 -1.072427e+09 +2.437792e+10 +7.643408e+12 -7.284087e+14 +5.293015e+16 +3.882657e+19   
S15-021   +1.677980e+02   +6.925965e-08 +9.615323e-05 -2.143978e+00 -6.084679e-02 -4.675347e+00 +3.169222e+02 -1.130650e+04 -2.271822e+05 +1.452555e+09 +4.300648e+08 +3.408654e+10 -5.515762e+12 +7.073445e+14 +9.940208e+16 -3.221066e+20   -6.837900e-08 +1.000616e-04 -4.789098e-04 -2.540213e-02 +1.404078e+00 +4.319342e+00 -6.717082e+02 -1.842803e+05 -3.537458e+07 -2.734778e+08 +2.899794e+10 -3.031309e+11 -3.886017e+14 +1.007865e+17 -1.791594e+18   
