# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=6][T/m^n] polynom_b[n=8][T/m^n] polynom_b[n=14][T/m^n] 
+0.0000000000000000e+00 +1.1367604824654654e-04 -2.7011392209149449e+03 +2.4963699057995218e+03 -4.8796314574163193e+06 +4.2639737460584619e+12 -5.0551893110875334e+23 
+1.0000000000000001e-01 +1.1367381906032340e-04 -2.7011381125329231e+03 +2.4250217550457114e+03 -3.4743937475088784e+06 +4.2551060907330386e+12 -5.0464029412931917e+23 
+2.0000000000000001e-01 +1.1366756778535689e-04 -2.7011350304267175e+03 +2.2269614370221839e+03 +4.2908683945873758e+05 +4.2304498125204644e+12 -5.0219247709610502e+23 
+3.0000000000000004e-01 +1.1365794900816751e-04 -2.7011303392082386e+03 +1.9261678270077362e+03 +6.3624162262272434e+06 +4.1929251958774360e+12 -4.9845763886614888e+23 
+4.0000000000000002e-01 +1.1364561727721406e-04 -2.7011244034769957e+03 +1.5466191585053757e+03 +1.3857211276272813e+07 +4.1454524637945430e+12 -4.9371793386391743e+23 
+5.0000000000000000e-01 +1.1363122722210449e-04 -2.7011175878591230e+03 +1.1122950506957300e+03 +2.2445065156005628e+07 +4.0909519726332598e+12 -4.8825552614995748e+23 
+6.0000000000000009e-01 +1.1361543329643583e-04 -2.7011102569232353e+03 +6.4717214015337470e+02 +3.1657621900970273e+07 +4.0323437930868271e+12 -4.8235255924750775e+23 
+7.0000000000000007e-01 +1.1359889022222992e-04 -2.7011027753261214e+03 +1.7523165249710061e+02 +4.1026447058972247e+07 +3.9725484375526929e+12 -4.7629120855822164e+23 
+8.0000000000000004e-01 +1.1358225232470952e-04 -2.7010955075924412e+03 -2.7955213182751532e+02 +5.0083225839034289e+07 +3.9144857412100688e+12 -4.7035360007149248e+23 
+9.0000000000000002e-01 +1.1356617432500826e-04 -2.7010888183798511e+03 -6.9319789139103477e+02 +5.8359521474389777e+07 +3.8610762324985635e+12 -4.6482191078628967e+23 
+1.0000000000000000e+00 +1.1355131078401948e-04 -2.7010830722924748e+03 -1.0417271426777831e+03 +6.5386946479498230e+07 +3.8152401590751758e+12 -4.5997829691820297e+23 
+1.1000000000000001e+00 +1.1353822811549914e-04 -2.7010785607907724e+03 -1.3061678237573178e+03 +7.0794112611226559e+07 +3.7793051106956191e+12 -4.5605047759424825e+23 
+1.2000000000000002e+00 +1.1352714013042162e-04 -2.7010752827658907e+03 -1.4875730017513135e+03 +7.4597615960907504e+07 +3.7532281289556055e+12 -4.5304843119231404e+23 
+1.3000000000000000e+00 +1.1351817252713294e-04 -2.7010731639765218e+03 -1.5920015923571709e+03 +7.6911042217692494e+07 +3.7363736510947280e+12 -4.5092770275426812e+23 
+1.4000000000000001e+00 +1.1351145100465072e-04 -2.7010721301825060e+03 -1.6255124294877155e+03 +7.7847975451998428e+07 +3.7281061242480186e+12 -4.4964383812207444e+23 
+1.5000000000000000e+00 +1.1350710128185738e-04 -2.7010721071507023e+03 -1.5941639562078806e+03 +7.7521992712554261e+07 +3.7277900365549028e+12 -4.4915238631060725e+23 
+1.6000000000000001e+00 +1.1350524902752914e-04 -2.7010730206304861e+03 -1.5040155639255088e+03 +7.6046687723857254e+07 +3.7347897804347451e+12 -4.4940888917935771e+23 
+1.7000000000000002e+00 +1.1350602001093634e-04 -2.7010747964046682e+03 -1.3611248865568346e+03 +7.3535623934984192e+07 +3.7484699196033740e+12 -4.5036890107387593e+23 
+1.8000000000000000e+00 +1.1350953991898702e-04 -2.7010773602287300e+03 -1.1715509907880657e+03 +7.0102389439921662e+07 +3.7681948784514170e+12 -4.5198796619259876e+23 
+1.9000000000000001e+00 +1.1351593435798157e-04 -2.7010806378330308e+03 -9.4135422140999310e+02 +6.5860593922386706e+07 +3.7933289607996172e+12 -4.5422162013032820e+23 
+2.0000000000000000e+00 +1.1352532917203565e-04 -2.7010845550248464e+03 -6.7659092499241331e+02 +6.0923778552499890e+07 +3.8232368570623672e+12 -4.5702542658853442e+23 
+2.1000000000000001e+00 +1.1353770963276814e-04 -2.7010890230162267e+03 -3.8368043678259113e+02 +5.5411798181268126e+07 +3.8572281086346626e+12 -4.6034511776115189e+23 
+2.2000000000000002e+00 +1.1355249999610871e-04 -2.7010938950630657e+03 -7.0471554958654139e+01 +4.9469372115889750e+07 +3.8943938828078140e+12 -4.6408726397933460e+23 
+2.3000000000000003e+00 +1.1356898405642598e-04 -2.7010990098637253e+03 +2.5482595821460981e+02 +4.3247497871357508e+07 +3.9337704012619502e+12 -4.6814861929501127e+23 
+2.4000000000000004e+00 +1.1358644569766463e-04 -2.7011042061447943e+03 +5.8400377114570699e+02 +3.6897148917410254e+07 +3.9743940193046953e+12 -4.7242594718428493e+23 
+2.5000000000000000e+00 +1.1360416879289450e-04 -2.7011093226304256e+03 +9.0885347168912779e+02 +3.0569299527312405e+07 +4.0153010901778389e+12 -4.7681601131640842e+23 
+2.6000000000000001e+00 +1.1362143715240648e-04 -2.7011141980220063e+03 +1.2211653887187204e+03 +2.4414946405931484e+07 +4.0555278370899570e+12 -4.8121556545416022e+23 
+2.7000000000000002e+00 +1.1363753473847820e-04 -2.7011186710753086e+03 +1.5127328157754621e+03 +1.8585033988153104e+07 +4.0941107838753672e+12 -4.8552138592829191e+23 
+2.8000000000000003e+00 +1.1365174535117561e-04 -2.7011225804874739e+03 +1.7753458468511001e+03 +1.3230563105918709e+07 +4.1300861301856899e+12 -4.8963022477319717e+23 
