# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=6][T/m^n] polynom_b[n=8][T/m^n] polynom_b[n=14][T/m^n] 
+0.0000000000000000e+00 -2.4613268794638196e-05 -2.4717641928030098e+03 -6.3588567662541427e+03 +1.4656256516882417e+08 +2.2195656291027549e+12 -3.9015476332603000e+23 
+1.0000000000000001e-01 -2.4608142537604158e-05 -2.4717660568588149e+03 -6.2616645512338946e+03 +1.4486431642307827e+08 +2.2293306565987148e+12 -3.9085670898415513e+23 
+2.0000000000000001e-01 -2.4594268564739287e-05 -2.4717711380503329e+03 -5.9970042141680506e+03 +1.4024777299925569e+08 +2.2558384601681724e+12 -3.9275627136336600e+23 
+3.0000000000000004e-01 -2.4573904158296292e-05 -2.4717786698860864e+03 -5.6052516117606965e+03 +1.3343026186204018e+08 +2.2949080006398457e+12 -3.9554403147643271e+23 
+4.0000000000000002e-01 -2.4549306597170143e-05 -2.4717878858745921e+03 -5.1267826167387339e+03 +1.2512911034821865e+08 +2.3423582365700986e+12 -3.9891057018448240e+23 
+5.0000000000000000e-01 -2.4522733121262604e-05 -2.4717980195379087e+03 -4.6019724155777058e+03 +1.1606163464829761e+08 +2.3940081853914814e+12 -4.0254647175709563e+23 
+6.0000000000000009e-01 -2.4496440944176704e-05 -2.4718083044050431e+03 -4.0711958799475919e+03 +1.0694514614578052e+08 +2.4456768889688511e+12 -4.0614232179996249e+23 
+7.0000000000000007e-01 -2.4472687386920057e-05 -2.4718179739724706e+03 -3.5748294490687658e+03 +9.8496981016557768e+07 +2.4931832603134463e+12 -4.0938869863288527e+23 
+8.0000000000000004e-01 -2.4453729709974179e-05 -2.4718262617552095e+03 -3.1532486615689736e+03 +9.1434461122448117e+07 +2.5323462870741460e+12 -4.1197618481773978e+23 
+9.0000000000000002e-01 -2.4441825145030599e-05 -2.4718324012777957e+03 -2.8468285870195241e+03 +8.6474900829801247e+07 +2.5589849960905645e+12 -4.1359536515278795e+23 
+1.0000000000000000e+00 -2.4439230966261783e-05 -2.4718356260500318e+03 -2.6959450369696178e+03 +8.4335626507154629e+07 +2.5689183509561929e+12 -4.1393682078210889e+23 
