# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=6][T/m^n] polynom_b[n=8][T/m^n] polynom_b[n=14][T/m^n] 
+0.0000000000000000e+00 -8.0515269378648630e-05 -2.3921975093258716e+03 -8.0064283959471504e+03 +1.6284862733210224e+08 +1.9916088452125007e+12 -3.5879993891305307e+23 
+1.0000000000000001e-01 -8.0513984446033040e-05 -2.3921978659991255e+03 -7.9882125877600602e+03 +1.6248088112672815e+08 +1.9939635540753579e+12 -3.5898933885351773e+23 
+2.0000000000000001e-01 -8.0510471921149619e-05 -2.3921988639591850e+03 -7.9372401599125469e+03 +1.6144299266352457e+08 +2.0006389278664124e+12 -3.5952849529396749e+23 
+3.0000000000000004e-01 -8.0505245253595579e-05 -2.3922003951049414e+03 -7.8590241498547921e+03 +1.5983299561724076e+08 +2.0110517939396768e+12 -3.6037384074555577e+23 
+4.0000000000000002e-01 -8.0498817886534229e-05 -2.3922023513370627e+03 -7.7590775174194814e+03 +1.5774892254260620e+08 +2.0246189850082834e+12 -3.6148180796763318e+23 
+5.0000000000000000e-01 -8.0491703202841089e-05 -2.3922046245742504e+03 -7.6429123608741029e+03 +1.5528879243214148e+08 +2.0407574040848147e+12 -3.6280883368305919e+23 
+6.0000000000000009e-01 -8.0484414648084068e-05 -2.3922071067169354e+03 -7.5160416325067990e+03 +1.5255063749557719e+08 +2.0588838865734285e+12 -3.6431135090117189e+23 
+7.0000000000000007e-01 -8.0477465702405034e-05 -2.3922096896539633e+03 -7.3839788771218055e+03 +1.4963249969045615e+08 +2.0784152157857012e+12 -3.6594578953814212e+23 
+8.0000000000000004e-01 -8.0471369731045892e-05 -2.3922122653101828e+03 -7.2522358729025937e+03 +1.4663239268540132e+08 +2.0987683233960447e+12 -3.6766858803935035e+23 
+9.0000000000000002e-01 -8.0466640215903226e-05 -2.3922147255742307e+03 -7.1263261681296335e+03 +1.4364835844513538e+08 +2.1193599927955273e+12 -3.6943617632964237e+23 
+1.0000000000000000e+00 -8.0463790573538334e-05 -2.3922169623547043e+03 -7.0117623393414706e+03 +1.4077842341415650e+08 +2.1396070887259805e+12 -3.7120498901863089e+23 
+1.1000000000000001e+00 -8.0463211683193467e-05 -2.3922188922912401e+03 -6.9128224195449166e+03 +1.3810091308849171e+08 +2.1590308088488486e+12 -3.7293787521534456e+23 
+1.2000000000000002e+00 -8.0464804193252241e-05 -2.3922205309720425e+03 -6.8288450877527594e+03 +1.3561533041968441e+08 +2.1775697804043342e+12 -3.7462334762132871e+23 
+1.3000000000000000e+00 -8.0468346206958978e-05 -2.3922219187172345e+03 -6.7579344757025501e+03 +1.3330147773433642e+08 +2.1952669605135532e+12 -3.7625633313616776e+23 
+1.4000000000000001e+00 -8.0473615871035350e-05 -2.3922230958349828e+03 -6.6981952490327785e+03 +1.3113916533363965e+08 +2.2121652666370586e+12 -3.7783175660161383e+23 
+1.5000000000000000e+00 -8.0480391291281876e-05 -2.3922241026454412e+03 -6.6477315196170603e+03 +1.2910819506445955e+08 +2.2283076589322783e+12 -3.7934454513543046e+23 
+1.6000000000000001e+00 -8.0488450569643084e-05 -2.3922249794700497e+03 -6.6046473241847561e+03 +1.2718836739187036e+08 +2.2437371055890273e+12 -3.8078962641118107e+23 
+1.7000000000000002e+00 -8.0497571819631452e-05 -2.3922257666264613e+03 -6.5670468969599096e+03 +1.2535948610575807e+08 +2.2584965566619072e+12 -3.8216192697776637e+23 
+1.8000000000000000e+00 -8.0507533150188623e-05 -2.3922265044337919e+03 -6.5330343933462309e+03 +1.2360135362071703e+08 +2.2726289699354307e+12 -3.8345637389239199e+23 
+1.9000000000000001e+00 -8.0518112685485214e-05 -2.3922272332063390e+03 -6.5007142107492500e+03 +1.2189377631835729e+08 +2.2861772819526025e+12 -3.8466789293427522e+23 
+2.0000000000000000e+00 -8.0529088529220454e-05 -2.3922279932653732e+03 -6.4681903884292733e+03 +1.2021655466959713e+08 +2.2991844609473242e+12 -3.8579141178185962e+23 
+2.1000000000000001e+00 -8.0540276172725827e-05 -2.3922288146476412e+03 -6.4341050464163873e+03 +1.1855883112537949e+08 +2.3116483410627163e+12 -3.8682026110811037e+23 
+2.2000000000000002e+00 -8.0551640621208365e-05 -2.3922296862659687e+03 -6.3992518787953695e+03 +1.1694710360254934e+08 +2.3233862869304165e+12 -3.8774138755060809e+23 
+2.3000000000000003e+00 -8.0563184302471282e-05 -2.3922305867397772e+03 -6.3649630376468895e+03 +1.1541721742451057e+08 +2.3341705029112065e+12 -3.8854013946871204e+23 
+2.4000000000000004e+00 -8.0574909565183254e-05 -2.3922314947101877e+03 -6.3325696965184143e+03 +1.1400500314474228e+08 +2.3437732675143452e+12 -3.8920186915133867e+23 
+2.5000000000000000e+00 -8.0586818845076127e-05 -2.3922323887951065e+03 -6.3034040536585026e+03 +1.1274630653072445e+08 +2.3519667838708447e+12 -3.8971192500047283e+23 
+2.6000000000000001e+00 -8.0598914497577413e-05 -2.3922332476346933e+03 -6.2787973046729467e+03 +1.1167695825559878e+08 +2.3585233306553052e+12 -3.9005565938617545e+23 
+2.7000000000000002e+00 -8.0611198960541894e-05 -2.3922340498439653e+03 -6.2600818485085374e+03 +1.1083280790334514e+08 +2.3632150887852861e+12 -3.9021841921421888e+23 
+2.8000000000000003e+00 -8.0623674599600292e-05 -2.3922347740606619e+03 -6.2485889746048970e+03 +1.1024968738002260e+08 +2.3658143314806050e+12 -3.9018555664438042e+23 
+2.9000000000000004e+00 -8.0636343809433280e-05 -2.3922353989136136e+03 -6.2456503996901474e+03 +1.0996343530595627e+08 +2.3660932972960762e+12 -3.8994242191002865e+23 
+3.0000000000000000e+00 -8.0649209012688308e-05 -2.3922359030230505e+03 -6.2525982611749951e+03 +1.1000989704036854e+08 +2.3638241893841372e+12 -3.8947436319564197e+23 
+3.1000000000000001e+00 -8.0662287038526731e-05 -2.3922362669550521e+03 -6.2704613451571149e+03 +1.1041429061883900e+08 +2.3588651746117734e+12 -3.8877457700706418e+23 
+3.2000000000000002e+00 -8.0675652593758406e-05 -2.3922364789841531e+03 -6.2990586121105598e+03 +1.1115938109247896e+08 +2.3514179830941216e+12 -3.8786763674141476e+23 
+3.3000000000000003e+00 -8.0689394787526156e-05 -2.3922365293316129e+03 -6.3379056358503894e+03 +1.1221730568298486e+08 +2.3417703111242866e+12 -3.8678596424193829e+23 
+3.4000000000000004e+00 -8.0703602859231763e-05 -2.3922364081800856e+03 -6.3865198342384338e+03 +1.1356023064745551e+08 +2.3302097044804336e+12 -3.8556197287164800e+23 
+3.5000000000000000e+00 -8.0718365867608516e-05 -2.3922361057663879e+03 -6.4444160257908352e+03 +1.1516028121251461e+08 +2.3170239219638267e+12 -3.8422808802336863e+23 
+3.6000000000000001e+00 -8.0733773035117799e-05 -2.3922356122770761e+03 -6.5111114724165627e+03 +1.1698962149847516e+08 +2.3025005192432773e+12 -3.8281672349655536e+23 
+3.7000000000000002e+00 -8.0749913490918971e-05 -2.3922349179289945e+03 -6.5861219158961849e+03 +1.1902039091881298e+08 +2.2869271829398228e+12 -3.8136030076187738e+23 
+3.8000000000000003e+00 -8.0766876386354145e-05 -2.3922340129296877e+03 -6.6689636218799451e+03 +1.2122473798600677e+08 +2.2705915493202251e+12 -3.7989123812740590e+23 
+3.9000000000000004e+00 -8.0784750856301659e-05 -2.3922328874938748e+03 -6.7591524490758529e+03 +1.2357480412849385e+08 +2.2537812938840615e+12 -3.7844195636491262e+23 
+4.0000000000000000e+00 -8.0803626102578208e-05 -2.3922315318150486e+03 -6.8562053035986355e+03 +1.2604274760833199e+08 +2.2367840036139209e+12 -3.7704487113282042e+23 
+4.1000000000000005e+00 -8.0823556914115961e-05 -2.3922299446973243e+03 -6.9593103409975629e+03 +1.2859687417214297e+08 +2.2198857704748770e+12 -3.7572984118727815e+23 
+4.2000000000000002e+00 -8.0844460861567035e-05 -2.3922281592582235e+03 -7.0663468777825792e+03 +1.3119017648994619e+08 +2.2033662037917627e+12 -3.7451646936440981e+23 
+4.2999999999999998e+00 -8.0866221220545173e-05 -2.3922262171911093e+03 -7.1748671207351699e+03 +1.3377182028746563e+08 +2.1875032863848323e+12 -3.7342179430512518e+23 
+4.4000000000000004e+00 -8.0888721239975433e-05 -2.3922241601962919e+03 -7.2824229838578640e+03 +1.3629096713106471e+08 +2.1725750208777725e+12 -3.7246285557926898e+23 
+4.5000000000000000e+00 -8.0911844160052744e-05 -2.3922220299775404e+03 -7.3865661869732239e+03 +1.3869677521453792e+08 +2.1588594285714980e+12 -3.7165669393283812e+23 
+4.6000000000000005e+00 -8.0935473203056827e-05 -2.3922198682439280e+03 -7.4848481969471723e+03 +1.4093839874243447e+08 +2.1466345515024338e+12 -3.7102035129002864e+23 
+4.7000000000000002e+00 -8.0959491663578105e-05 -2.3922177166824281e+03 -7.5748215515511511e+03 +1.4296500895032975e+08 +2.1361783427493982e+12 -3.7057086448824058e+23 
+4.8000000000000007e+00 -8.0983782733503264e-05 -2.3922156170113444e+03 -7.6540372764879803e+03 +1.4472575310693133e+08 +2.1277688802441624e+12 -3.7032527746623977e+23 
+4.9000000000000004e+00 -8.1008229734588023e-05 -2.3922136109096455e+03 -7.7200482852474379e+03 +1.4616980827811915e+08 +2.1216840871878250e+12 -3.7030062541544559e+23 
+5.0000000000000000e+00 -8.1032715871370164e-05 -2.3922117400910920e+03 -7.7704058429696152e+03 +1.4724632574889341e+08 +2.1182020197480798e+12 -3.7051395094946528e+23 
+5.1000000000000005e+00 -8.1057135071517210e-05 -2.3922100357786662e+03 -7.8033915755055732e+03 +1.4792086387676507e+08 +2.1174784957726655e+12 -3.7097000940339676e+23 
+5.2000000000000002e+00 -8.1081423991097431e-05 -2.3922084872772552e+03 -7.8202065434603001e+03 +1.4822457933436501e+08 +2.1191805288160396e+12 -3.7162441471663478e+23 
+5.3000000000000007e+00 -8.1105529919104545e-05 -2.3922070734279991e+03 -7.8227808747918943e+03 +1.4820501548530152e+08 +2.1228529998475481e+12 -3.7242049952000781e+23 
+5.4000000000000004e+00 -8.1129400180362672e-05 -2.3922057730605361e+03 -7.8130452761158167e+03 +1.4790972514149675e+08 +2.1280407395216436e+12 -3.7330159346324820e+23 
+5.5000000000000000e+00 -8.1152982092005604e-05 -2.3922045650072523e+03 -7.7929303033996257e+03 +1.4738625850058156e+08 +2.1342885930395098e+12 -3.7421102712740520e+23 
+5.6000000000000005e+00 -8.1176222956934636e-05 -2.3922034281044225e+03 -7.7643663425247059e+03 +1.4668216328338119e+08 +2.1411414176130574e+12 -3.7509213167838817e+23 
+5.7000000000000002e+00 -8.1199070102010195e-05 -2.3922023411813188e+03 -7.7292841070578179e+03 +1.4584499228292570e+08 +2.1481440445147937e+12 -3.7588823685837461e+23 
+5.8000000000000007e+00 -8.1221470833686289e-05 -2.3922012830731410e+03 -7.6896140320812456e+03 +1.4492229395337877e+08 +2.1548413273487341e+12 -3.7654267365295464e+23 
+5.9000000000000004e+00 -8.1243372474360784e-05 -2.3922002326112938e+03 -7.6472867060914923e+03 +1.4396161886981606e+08 +2.1607781098240142e+12 -3.7699877260278944e+23 
+6.0000000000000000e+00 -8.1264722305727016e-05 -2.3921991686378351e+03 -7.6042322539917441e+03 +1.4301051080265930e+08 +2.1654992690444080e+12 -3.7719986593489152e+23 
+6.1000000000000005e+00 -8.1285491242411297e-05 -2.3921980777878466e+03 -7.5617069092740148e+03 +1.4209987246034312e+08 +2.1687067602348171e+12 -3.7710795162815370e+23 
+6.2000000000000002e+00 -8.1305744228474591e-05 -2.3921969780167601e+03 -7.5182643156879221e+03 +1.4119393238714984e+08 +2.1707314182919902e+12 -3.7675972236421913e+23 
+6.3000000000000007e+00 -8.1325569845308457e-05 -2.3921958950699318e+03 -7.4717844306221587e+03 +1.4024028193227288e+08 +2.1720611337105310e+12 -3.7621053504302152e+23 
+6.4000000000000004e+00 -8.1345056629050652e-05 -2.3921948547069619e+03 -7.4201465113296717e+03 +1.3918650121802837e+08 +2.1731838559449697e+12 -3.7551574996596144e+23 
+6.5000000000000000e+00 -8.1364293170711044e-05 -2.3921938826701971e+03 -7.3612306553532089e+03 +1.3798018371259081e+08 +2.1745874649585071e+12 -3.7473072350073914e+23 
+6.6000000000000005e+00 -8.1383367984201287e-05 -2.3921930047260685e+03 -7.2929157886748562e+03 +1.3656890428358319e+08 +2.1767599375474810e+12 -3.7391081749466088e+23 
+6.7000000000000002e+00 -8.1402369608735278e-05 -2.3921922466325846e+03 -7.2130812613239577e+03 +1.3490024467047161e+08 +2.1801892142548098e+12 -3.7311139169953832e+23 
+6.8000000000000007e+00 -8.1421386616064580e-05 -2.3921916341388123e+03 -7.1196068261035161e+03 +1.3292179270110381e+08 +2.1853632049744023e+12 -3.7238780422823147e+23 
+6.9000000000000004e+00 -8.1440507564314803e-05 -2.3921911929975458e+03 -7.0103720727130276e+03 +1.3058113379988970e+08 +2.1927698314480156e+12 -3.7179541380034733e+23 
+7.0000000000000000e+00 -8.1459820971621841e-05 -2.3921909489732557e+03 -6.8832560350691365e+03 +1.2782584465296924e+08 +2.2028970606839224e+12 -3.7138958168504119e+23 
+7.1000000000000005e+00 -8.1479383516896582e-05 -2.3921909212147548e+03 -6.7368626941577049e+03 +1.2462160696124996e+08 +2.2161006650294419e+12 -3.7121502930046576e+23 
+7.2000000000000002e+00 -8.1499124286500932e-05 -2.3921911024764381e+03 -6.5726926320766415e+03 +1.2100647314284405e+08 +2.2322078906955610e+12 -3.7127393254998381e+23 
+7.3000000000000007e+00 -8.1518940450668500e-05 -2.3921914789222824e+03 -6.3929701019150170e+03 +1.1703657977380067e+08 +2.2509139002702827e+12 -3.7155783404965135e+23 
+7.4000000000000004e+00 -8.1538729171336014e-05 -2.3921920367158618e+03 -6.1999194584397601e+03 +1.1276806591179092e+08 +2.2719138401611885e+12 -3.7205827516209035e+23 
+7.5000000000000000e+00 -8.1558387708703081e-05 -2.3921927619925950e+03 -5.9957663713019565e+03 +1.0825709101244920e+08 +2.2949027521310894e+12 -3.7276679145836624e+23 
+7.6000000000000005e+00 -8.1577813181315668e-05 -2.3921936409307400e+03 -5.7827344434211682e+03 +1.0355978175073273e+08 +2.3195758488536958e+12 -3.7367492825312074e+23 
+7.7000000000000002e+00 -8.1596902813932862e-05 -2.3921946596755524e+03 -5.5630488909082260e+03 +9.8732290595386058e+07 +2.3456282077832363e+12 -3.7477422308068782e+23 
+7.8000000000000007e+00 -8.1615553795158437e-05 -2.3921958043836885e+03 -5.3389343775089383e+03 +9.3830761273245439e+07 +2.3727549517859375e+12 -3.7605621603728232e+23 
+7.9000000000000004e+00 -8.1633663281513382e-05 -2.3921970612226573e+03 -5.1126149969572143e+03 +8.8911327921953067e+07 +2.4006512558853564e+12 -3.7751245042499019e+23 
+8.0000000000000000e+00 -8.1651128469768360e-05 -2.3921984163458128e+03 -4.8863155927130601e+03 +8.4030137328612328e+07 +2.4290122262241963e+12 -3.7913446531031022e+23 
+8.0999999999999996e+00 -8.1667907774586569e-05 -2.3921998424907642e+03 -4.6627014474743064e+03 +7.9248876042440131e+07 +2.4574840570098887e+12 -3.8090550780882040e+23 
+8.2000000000000011e+00 -8.1684204454104620e-05 -2.3922012587387080e+03 -4.4461993597111559e+03 +7.4651386821318358e+07 +2.4855173054324707e+12 -3.8277565738529004e+23 
+8.3000000000000007e+00 -8.1700283047390668e-05 -2.3922025707320140e+03 -4.2416777942053477e+03 +7.0327072817056596e+07 +2.5125135049228999e+12 -3.8468669475949242e+23 
+8.4000000000000004e+00 -8.1716408010868962e-05 -2.3922036841411982e+03 -4.0540037795680173e+03 +6.6365313672440328e+07 +2.5378743139503042e+12 -3.8658040800059559e+23 
+8.5000000000000000e+00 -8.1732843859800135e-05 -2.3922045046166950e+03 -3.8880453646788942e+03 +6.2855505666566074e+07 +2.5610013027805039e+12 -3.8839858002659649e+23 
+8.5999999999999996e+00 -8.1749855053013019e-05 -2.3922049378282290e+03 -3.7486696176115142e+03 +5.9887029066481709e+07 +2.5812961266708379e+12 -3.9008299873232495e+23 
+8.7000000000000011e+00 -8.1767706155636208e-05 -2.3922048894105478e+03 -3.6407453637614390e+03 +5.7549292683428384e+07 +2.5981602897330303e+12 -3.9157544318069197e+23 
+8.8000000000000007e+00 -8.1786661607240218e-05 -2.3922042650392973e+03 -3.5691393779813734e+03 +5.5931672033689052e+07 +2.6109954724111025e+12 -3.9281770274981768e+23 
