--- multipoles on reference trajectory (rz > 0) ---
effective_length:                   75.02193616054782 mm
perpendicular_grid:                 41 points in [-12.000000,+12.000000] mm
max_fitting_error_normal            0.075/1953.432 G/G
max_fitting_error_skew              0.037/0.043 G/G
r0_for_relative_multipoles          12 mm
main_monomial                       n = 2, skew:False
                                      MaxAbs_Nn     Integ_Nn     Nn/N0(@r0)   |   MaxAbs_Sn     Integ_Sn     Sn/S0(@r0)  
<multipole_order n>                    [T/m^n]      [T.m/m^n]        []       |    [T/m^n]      [T.m/m^n]        []      
n=00:                                4.9010e-04    -1.5719e-05   +5.8917e-04  |  6.5932e-07    -6.7883e-10   +2.5443e-08 
n=01:                                    ---           ---           ---      |  1.3783e-13    -1.0280e-14   +4.6238e-15 
n=02:                                2.4697e+03    -1.8528e+02   +1.0000e+00  |  9.7091e-02    +9.9964e-05   -5.3953e-07 
n=03:                                    ---           ---           ---      |  1.3919e-10    -3.1622e-13   +2.0481e-17 
n=04:                                8.7009e+05    -3.5246e+02   +2.7394e-04  |  3.9515e+03    -4.0684e+00   +3.1620e-06 
n=06:                                2.2198e+09    +6.0853e+06   -6.8106e-04  |  6.5010e+07    +6.6934e+04   -7.4911e-06 
n=07:                                    ---           ---           ---      |  5.2444e-02    +1.5574e-04   -2.0915e-16 
n=08:                                1.4775e+13    +1.2637e+11   -2.0366e-03  |  4.6437e+11    -4.7811e+08   +7.7052e-06 
n=09:                                    ---           ---           ---      |  4.2308e+02    -1.0695e+00   +2.0683e-16 
n=10:                                    ---           ---           ---      |  1.1986e+15    +1.2340e+12   -2.8639e-06 
n=13:                                    ---           ---           ---      |  8.5628e+09    +4.7403e+06   -1.9010e-17 
n=14:                                5.3145e+23    -2.6375e+22   +1.2692e-03  |      ---           ---           ---     
