--- multipoles on reference trajectory (rz > 0) ---
effective_length:                   75.05260805068941 mm
perpendicular_grid:                 41 points in [-12.000000,+12.000000] mm
max_fitting_error_normal            1.137/1968.383 G/G
max_fitting_error_skew              0.518/0.627 G/G
r0_for_relative_multipoles          12 mm
main_monomial                       n = 2, skew:False
                                      MaxAbs_Nn     Integ_Nn     Nn/N0(@r0)   |   MaxAbs_Sn     Integ_Sn     Sn/S0(@r0)  
<multipole_order n>                    [T/m^n]      [T.m/m^n]        []       |    [T/m^n]      [T.m/m^n]        []      
n=00:                                1.7306e-02    -1.6026e-03   +6.0073e-02  |  1.0877e-05    -3.0312e-08   +1.1362e-06 
n=01:                                    ---           ---           ---      |  1.1902e-03    -6.2684e-06   +2.8196e-06 
n=02:                                2.4686e+03    -1.8526e+02   +1.0000e+00  |  1.7557e+00    +1.4272e-02   -7.7037e-05 
n=03:                                    ---           ---           ---      |  6.5509e+01    +2.3518e-01   -1.5233e-05 
n=04:                                1.2302e+06    -2.3107e+04   +1.7961e-02  |  7.9694e+04    -5.7557e+02   +4.4738e-04 
n=06:                                2.8271e+09    -3.2479e+07   +3.6353e-03  |  1.4087e+09    +9.3535e+06   -1.0469e-03 
n=07:                                    ---           ---           ---      |  2.2975e+10    -6.2033e+07   +8.3318e-05 
n=08:                                2.2652e+13    +2.7817e+11   -4.4834e-03  |  1.0584e+13    -6.5715e+10   +1.0592e-03 
n=09:                                    ---           ---           ---      |  2.0993e+14    +5.0463e+11   -9.7601e-05 
n=10:                                    ---           ---           ---      |  2.8464e+16    +1.6698e+14   -3.8754e-04 
n=13:                                    ---           ---           ---      |  3.4018e+21    -7.1802e+18   +2.8797e-05 
n=14:                                7.1553e+23    -2.9702e+22   +1.4295e-03  |      ---           ---           ---     
