# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=6][T/m^n] polynom_b[n=8][T/m^n] polynom_b[n=14][T/m^n] 
+0.0000000000000000e+00 +1.1955403513904212e-04 -2.7010626985243789e+03 +2.3717597444515846e+02 +4.1363263514080338e+07 +3.9916254909426465e+12 -4.8215549918423400e+23 
+1.0000000000000001e-01 +1.1955280963113016e-04 -2.7010629745738042e+03 +2.5416997606617298e+02 +4.1087154095661648e+07 +3.9933035493215806e+12 -4.8235981319565756e+23 
+2.0000000000000001e-01 +1.1954914404665464e-04 -2.7010636327259176e+03 +2.9497006306094244e+02 +4.0437560190071367e+07 +3.9972433878059604e+12 -4.8285377536061951e+23 
+3.0000000000000004e-01 +1.1954305478372877e-04 -2.7010644179812757e+03 +3.4430306767797225e+02 +3.9682588378742956e+07 +4.0018034729726431e+12 -4.8345891386659245e+23 
+4.0000000000000002e-01 +1.1953455829728754e-04 -2.7010650753594882e+03 +3.8689682359039404e+02 +3.9090328030817017e+07 +4.0053423685258398e+12 -4.8399676393323042e+23 
+5.0000000000000000e-01 +1.1952367097105998e-04 -2.7010653498575025e+03 +4.0747799576798712e+02 +3.8928888404103018e+07 +4.0062185266280225e+12 -4.8428885278067319e+23 
+6.0000000000000009e-01 +1.1951040922796335e-04 -2.7010649864842130e+03 +3.9077385434561313e+02 +3.9466368581985645e+07 +4.0027904559726343e+12 -4.8415671160744389e+23 
+7.0000000000000007e-01 +1.1949478951361756e-04 -2.7010637302562550e+03 +3.2151207345845881e+02 +4.0970860728807032e+07 +3.9934167042735942e+12 -4.8342187445141970e+23 
+8.0000000000000004e-01 +1.1947682822182492e-04 -2.7010613261729995e+03 +1.8441942973039411e+02 +4.3710472313860796e+07 +3.9764557333502910e+12 -4.8190586918485524e+23 
+9.0000000000000002e-01 +1.1945654177623922e-04 -2.7010575192453121e+03 -3.5776657337342137e+01 +4.7953299342069581e+07 +3.9502660713342427e+12 -4.7943022868657642e+23 
+1.0000000000000000e+00 +1.1943394657882964e-04 -2.7010520544737910e+03 -3.5434940014528519e+02 +5.3967449755945764e+07 +3.9132061745716216e+12 -4.7581648004822185e+23 
+1.1000000000000001e+00 +1.1940910625482052e-04 -2.7010447558703891e+03 -7.8181933008613987e+02 +6.1938905445777528e+07 +3.8641279966033252e+12 -4.7093848673434735e+23 
+1.2000000000000002e+00 +1.1938227318251440e-04 -2.7010357634356096e+03 -1.3096995806418950e+03 +7.1725205494421616e+07 +3.8038571150674585e+12 -4.6487942874730354e+23 
+1.3000000000000000e+00 +1.1935374697887126e-04 -2.7010252961853380e+03 -1.9247504270205418e+03 +8.3101760267911375e+07 +3.7337126183355142e+12 -4.5777482325559031e+23 
+1.4000000000000001e+00 +1.1932382718997008e-04 -2.7010135731098167e+03 -2.6137335502449241e+03 +9.5844005024002716e+07 +3.6550134511384175e+12 -4.4976017657269933e+23 
+1.5000000000000000e+00 +1.1929281339687544e-04 -2.7010008132130210e+03 -3.3634098605280301e+03 +1.0972736122997178e+08 +3.5690786382306089e+12 -4.4097100110144793e+23 
+1.6000000000000001e+00 +1.1926100518305647e-04 -2.7009872354978825e+03 -4.1605403647912017e+03 +1.2452725244685158e+08 +3.4772271908659912e+12 -4.3154280804993518e+23 
+1.7000000000000002e+00 +1.1922870217281686e-04 -2.7009730589820738e+03 -4.9918852618152405e+03 +1.4001908790818924e+08 +3.3807782031393950e+12 -4.2161111492502870e+23 
+1.8000000000000000e+00 +1.1919620386130616e-04 -2.7009585026401896e+03 -5.8442070277410467e+03 +1.5597831631803161e+08 +3.2810505445516177e+12 -4.1131142264152187e+23 
+1.9000000000000001e+00 +1.1916380993575874e-04 -2.7009437855111883e+03 -6.7042647287154186e+03 +1.7218032723950139e+08 +3.1793634211178647e+12 -4.0077925694270489e+23 
+2.0000000000000000e+00 +1.1913181990477683e-04 -2.7009291265720753e+03 -7.5588207698427077e+03 +1.8840056873925638e+08 +3.0770357037244092e+12 -3.9015011857806542e+23 
+2.1000000000000001e+00 +1.1910064829851586e-04 -2.7009147818418501e+03 -8.3921121453504475e+03 +2.0435028566550148e+08 +2.9758566855486338e+12 -3.7961244345013027e+23 
+2.2000000000000002e+00 +1.1907116924777068e-04 -2.7009011553282457e+03 -9.1782841128364944e+03 +2.1948408597272179e+08 +2.8794963322446899e+12 -3.6956633127150749e+23 
+2.3000000000000003e+00 +1.1904437189702577e-04 -2.7008886880754576e+03 -9.8889569048282847e+03 +2.3319238217774457e+08 +2.7920949830174956e+12 -3.6046481271767333e+23 
+2.4000000000000004e+00 +1.1902124529189619e-04 -2.7008778210949604e+03 -1.0495752464947882e+04 +2.4486561613964289e+08 +2.7177928116721880e+12 -3.5276090649742977e+23 
+2.5000000000000000e+00 +1.1900277854530359e-04 -2.7008689954201132e+03 -1.0970291595779297e+04 +2.5389421014247459e+08 +2.6607301025121294e+12 -3.4690763935196769e+23 
+2.6000000000000001e+00 +1.1898996067457130e-04 -2.7008626520529565e+03 -1.1284196740630794e+04 +2.5966861473919457e+08 +2.6250469796789307e+12 -3.4335802628707383e+23 
+2.7000000000000002e+00 +1.1898378083666160e-04 -2.7008592320428065e+03 -1.1409087826998724e+04 +2.6157923672438824e+08 +2.6148838168150376e+12 -3.4256510078658113e+23 
+2.8000000000000003e+00 +1.1898522807259704e-04 -2.7008591763979216e+03 -1.1316587015045985e+04 +2.5901652222912449e+08 +2.6343807613526582e+12 -3.4498187934449358e+23 
+2.9000000000000004e+00 +1.1899529145613273e-04 -2.7008629261393330e+03 -1.0978315741185097e+04 +2.5137090433376530e+08 +2.6876780368906240e+12 -3.5106138430808710e+23 
+3.0000000000000000e+00 +1.1901496010961370e-04 -2.7008709223042711e+03 -1.0365894586668746e+04 +2.3803280131654191e+08 +2.7789159511666157e+12 -3.6125664422957414e+23 
+3.1000000000000001e+00 +1.1904465058076852e-04 -2.7008833499822367e+03 -9.4677346323586953e+03 +2.1874738325209081e+08 +2.9098571017306260e+12 -3.7576523426404413e+23 
+3.2000000000000002e+00 +1.1908248908352777e-04 -2.7008993704602517e+03 -8.3394095462879195e+03 +1.9467883717964980e+08 +3.0727531919930698e+12 -3.9376291243070008e+23 
+3.3000000000000003e+00 +1.1912602953102453e-04 -2.7009178891694241e+03 -7.0532786480380555e+03 +1.6734601810655591e+08 +3.2574786910085103e+12 -4.1417001829604805e+23 
+3.4000000000000004e+00 +1.1917282552912545e-04 -2.7009378114388396e+03 -5.6817066183911174e+03 +1.3826787343959907e+08 +3.4539075445908330e+12 -4.3590685316739214e+23 
+3.5000000000000000e+00 +1.1922043098115032e-04 -2.7009580426958150e+03 -4.2970529890845874e+03 +1.0896326199161415e+08 +3.6519141996340361e+12 -4.5789375491008404e+23 
+3.6000000000000001e+00 +1.1926639956432335e-04 -2.7009774882935799e+03 -2.9716811611258258e+03 +8.0951108993075714e+07 +3.8413727280124717e+12 -4.7905103411332176e+23 
+3.7000000000000002e+00 +1.1930828506585123e-04 -2.7009950536208398e+03 -1.7779526960984574e+03 +5.5750308235125393e+07 +4.0121573786098032e+12 -4.9829901417811538e+23 
+3.8000000000000003e+00 +1.1934364130196893e-04 -2.7010096440761508e+03 -7.8822863118185830e+02 +3.4879744393883765e+07 +4.1541424522345332e+12 -5.1455802234237992e+23 
+3.9000000000000004e+00 +1.1937002192507497e-04 -2.7010201650040722e+03 -7.4872837558359365e+01 +1.9858350993313737e+07 +4.2572019729643613e+12 -5.2674836558233824e+23 
+4.0000000000000000e+00 +1.1938498083134042e-04 -2.7010255218307407e+03 +2.8975512503126981e+02 +1.2204986928370602e+07 +4.3112103888727852e+12 -5.3379038206641264e+23 
