--- multipoles on reference trajectory (rz > 0) ---
effective_length:                   75.05876969572705 mm
perpendicular_grid:                 41 points in [-12.000000,+12.000000] mm
max_fitting_error_normal            1.343/2164.478 G/G
max_fitting_error_skew              0.371/0.413 G/G
r0_for_relative_multipoles          12 mm
main_monomial                       n = 2, skew:False
                                       Nn(s=0)      Integ_Nn     Nn/N0(@r0)   |    Sn(s=0)      Integ_Sn     Sn/S0(@r0)  
<multipole_order n>                    [T/m^n]      [T.m/m^n]        []       |    [T/m^n]      [T.m/m^n]        []      
n=00:                                1.7203e-02    -1.5952e-03   +5.9706e-02  |  3.1893e-08    +4.0634e-08   -1.5209e-06 
n=01:                                    ---           ---           ---      |  6.1422e-05    -5.8638e-06   +2.6337e-06 
n=02:                                2.4719e+03    -1.8554e+02   +1.0000e+00  |  2.6394e-02    -2.2569e-03   +1.2164e-05 
n=03:                                    ---           ---           ---      |  2.9398e+00    +2.1744e-01   -1.4063e-05 
n=04:                                3.3246e+05    -2.2160e+04   +1.7199e-02  |  2.3366e+03    +8.7827e+01   -6.8164e-05 
n=06:                                1.7958e+08    -4.4321e+07   +4.9533e-03  |  5.9737e+07    -1.4119e+06   +1.5779e-04 
n=07:                                    ---           ---           ---      |  1.6995e+09    -6.1252e+07   +8.2147e-05 
n=08:                                3.0995e+12    +2.8611e+11   -4.6046e-03  |  5.7666e+11    +1.0075e+10   -1.6214e-04 
n=09:                                    ---           ---           ---      |  1.7413e+13    +4.9317e+11   -9.5242e-05 
n=10:                                    ---           ---           ---      |  1.8564e+15    -2.5489e+13   +5.9071e-05 
n=13:                                    ---           ---           ---      |  3.0890e+20    -6.8436e+18   +2.7406e-05 
n=14:                                3.3110e+23    -3.3527e+22   +1.6112e-03  |      ---           ---           ---     
