# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=6][T/m^n] polynom_b[n=8][T/m^n] polynom_b[n=14][T/m^n] 
+0.0000000000000000e+00 -1.7203171411367613e-02 -2.4719175443737877e+03 -3.3246087102466461e+05 -1.7957909887876201e+08 +3.0995214420312681e+12 -3.3110463989577460e+23 
+1.0000000000000001e-01 -1.7203163239024939e-02 -2.4719210498176139e+03 -3.3226023207216850e+05 -1.8333133798132983e+08 +3.1219442158645493e+12 -3.3278160124047982e+23 
+2.0000000000000001e-01 -1.7203140718572509e-02 -2.4719307129127587e+03 -3.3170522394884791e+05 -1.9372297485194436e+08 +3.1840826982098037e+12 -3.3743009618044632e+23 
+3.0000000000000004e-01 -1.7203106844723051e-02 -2.4719452538503319e+03 -3.3086620753428701e+05 -2.0945642438249451e+08 +3.2782423170201353e+12 -3.4447655187637203e+23 
+4.0000000000000002e-01 -1.7203064612316580e-02 -2.4719633927812965e+03 -3.2981354569812986e+05 -2.2923406933364826e+08 +3.3967283306064341e+12 -3.5334738560134170e+23 
+5.0000000000000000e-01 -1.7203017016194849e-02 -2.4719838498594900e+03 -3.2861760107371322e+05 -2.5175829723238692e+08 +3.5318460258814834e+12 -3.6346901663591461e+23 
+6.0000000000000009e-01 -1.7202967051094951e-02 -2.4720053452669422e+03 -3.2734873503061006e+05 -2.7573151465745914e+08 +3.6759007854813945e+12 -3.7426786936364574e+23 
+7.0000000000000007e-01 -1.7202917711776455e-02 -2.4720265991800929e+03 -3.2607730918173952e+05 -2.9985612454692936e+08 +3.8211979737000757e+12 -3.8517036716302952e+23 
+8.0000000000000004e-01 -1.7202871993094716e-02 -2.4720463317464928e+03 -3.2487368651793816e+05 -3.2283450822200191e+08 +3.9600428431890127e+12 -3.9560292717772661e+23 
+9.0000000000000002e-01 -1.7202832889794715e-02 -2.4720632631483822e+03 -3.2380822833277960e+05 -3.4336907411813575e+08 +4.0847407885728574e+12 -4.0499197469487793e+23 
+1.0000000000000000e+00 -1.7202803396689996e-02 -2.4720761135445186e+03 -3.2295129712555918e+05 -3.6016221080384183e+08 +4.1875970981846328e+12 -4.1276392867170624e+23 
+1.1000000000000001e+00 -1.7202785611780236e-02 -2.4720839717121435e+03 -3.2235373730340466e+05 -3.7227197831010729e+08 +4.2630157757518169e+12 -4.1850189502671809e+23 
+1.2000000000000002e+00 -1.7202778045954634e-02 -2.4720874008459009e+03 -3.2198832405345119e+05 -3.8017906791244191e+08 +4.3137953841366592e+12 -4.2241570844221782e+23 
+1.3000000000000000e+00 -1.7202778313382860e-02 -2.4720873327293179e+03 -3.2180831591671862e+05 -3.8471981928920728e+08 +4.3448330810516880e+12 -4.2487188367194933e+23 
+1.4000000000000001e+00 -1.7202784028143143e-02 -2.4720846991720196e+03 -3.2176697023363580e+05 -3.8673059046982515e+08 +4.3610261171489512e+12 -4.2623694047228938e+23 
+1.5000000000000000e+00 -1.7202792804319116e-02 -2.4720804319832441e+03 -3.2181754432374012e+05 -3.8704774025767148e+08 +4.3672717488163584e+12 -4.2687739910401281e+23 
+1.6000000000000001e+00 -1.7202802256093847e-02 -2.4720754629417320e+03 -3.2191329698647378e+05 -3.8650760392416555e+08 +4.3684671096237983e+12 -4.2715977282659514e+23 
+1.7000000000000002e+00 -1.7202809997540053e-02 -2.4720707238594214e+03 -3.2200748542901018e+05 -3.8594654184410995e+08 +4.3695094633077461e+12 -4.2745058222664492e+23 
