--- multipoles on reference trajectory (rz > 0) ---
effective_length:                   73.29879207247417 mm
perpendicular_grid:                 41 points in [-11.500000,+11.500000] mm
max_fitting_error_normal            0.887/937.725 G/G
max_fitting_error_skew              0.528/133.687 G/G
r0_for_relative_multipoles          11.7 mm
main_monomial                       n = 2, skew:False
                                      MaxAbs_Nn     Integ_Nn     Nn/N0(@r0)   |   MaxAbs_Sn     Integ_Sn     Sn/S0(@r0)  
<multipole_order n>                    [T/m^n]      [T.m/m^n]        []       |    [T/m^n]      [T.m/m^n]        []      
n=00:                                1.4093e-04    -9.3679e-06   +3.7835e-04  |  1.7098e-02    -1.5716e-03   +6.3472e-02 
n=01:                                    ---           ---           ---      |  1.1596e-03    +8.7611e-07   -4.1400e-07 
n=02:                                2.4676e+03    -1.8087e+02   +1.0000e+00  |  1.1629e+01    +2.3467e-02   -1.2974e-04 
n=03:                                    ---           ---           ---      |  9.3672e+01    -2.1280e-01   +1.3765e-05 
n=04:                                8.9142e+05    -1.3070e+03   +9.8915e-04  |  3.2746e+05    +2.1736e+04   -1.6450e-02 
n=06:                                3.3866e+09    +2.1646e+07   -2.2425e-03  |  1.1959e+09    +2.0889e+06   -2.1642e-04 
n=07:                                    ---           ---           ---      |  6.1482e+10    +1.4971e+08   -1.8147e-04 
n=08:                                2.5400e+13    +2.6012e+10   -3.6891e-04  |  1.1592e+13    -2.0714e+11   +2.9377e-03 
n=09:                                    ---           ---           ---      |  6.9468e+14    -1.7007e+12   +2.8220e-04 
n=10:                                    ---           ---           ---      |  3.4611e+16    +2.9928e+14   -5.8103e-04 
n=13:                                    ---           ---           ---      |  1.5570e+22    +3.7838e+19   -1.1765e-04 
n=14:                                1.3791e+24    -1.7428e+22   +6.3403e-04  |      ---           ---           ---     
