--- multipoles on reference trajectory (rz > 0) ---
effective_length:                   75.28016255563097 mm
perpendicular_grid:                 41 points in [-12.000000,+12.000000] mm
max_fitting_error_normal            0.067/1935.556 G/G
max_fitting_error_skew              0.000/0.000 G/G
r0_for_relative_multipoles          12 mm
main_monomial                       n = 2, skew:False
                                       Nn(s=0)      Integ_Nn     Nn/N0(@r0)   |    Sn(s=0)      Integ_Sn     Sn/S0(@r0)  
<multipole_order n>                    [T/m^n]      [T.m/m^n]        []       |    [T/m^n]      [T.m/m^n]        []      
n=00:                                2.7219e-06    -6.8113e-07   +2.6260e-05  |  9.5512e-13    -2.5138e-14   +9.6916e-13 
n=01:                                    ---           ---           ---      |  1.3728e-13    -1.0001e-14   +4.6270e-15 
n=02:                                2.3927e+03    -1.8013e+02   +1.0000e+00  |  1.4065e-07    +3.7018e-09   -2.0551e-11 
n=03:                                    ---           ---           ---      |  3.1749e-10    +1.2735e-13   -8.4837e-18 
n=04:                                5.9366e+03    -4.2727e+02   +3.4158e-04  |  5.7243e-03    -1.5066e-04   +1.2044e-10 
n=06:                                1.1661e+08    +8.7097e+06   -1.0027e-03  |  9.4177e+01    +2.4787e+00   -2.8535e-10 
n=07:                                    ---           ---           ---      |  1.8302e-01    -4.3795e-05   +6.0499e-17 
n=08:                                2.2937e+12    +5.6361e+10   -9.3432e-04  |  6.7270e+05    -1.7705e+04   +2.9350e-10 
n=09:                                    ---           ---           ---      |  1.9187e+03    +6.9377e-01   -1.3801e-16 
n=10:                                    ---           ---           ---      |  1.7363e+09    +4.5699e+07   -1.0909e-10 
n=13:                                    ---           ---           ---      |  3.5748e+10    -2.3295e+07   +9.6090e-17 
n=14:                                3.8460e+23    -2.4612e+22   +1.2183e-03  |      ---           ---           ---     
