--- multipoles on reference trajectory (rz > 0) ---
effective_length:                   73.29686139729152 mm
perpendicular_grid:                 41 points in [-11.500000,+11.500000] mm
max_fitting_error_normal            0.959/2161.548 G/G
max_fitting_error_skew              0.175/39.132 G/G
r0_for_relative_multipoles          11.7 mm
main_monomial                       n = 2, skew:False
                                      MaxAbs_Nn     Integ_Nn     Nn/N0(@r0)   |   MaxAbs_Sn     Integ_Sn     Sn/S0(@r0)  
<multipole_order n>                    [T/m^n]      [T.m/m^n]        []       |    [T/m^n]      [T.m/m^n]        []      
n=00:                                1.5823e-04    -1.1129e-05   +4.4950e-04  |  1.1234e-06    -6.9492e-09   +2.8067e-07 
n=01:                                    ---           ---           ---      |  7.7724e-01    -6.0298e-02   +2.8493e-02 
n=02:                                2.4677e+03    -1.8087e+02   +1.0000e+00  |  4.9764e-01    +5.8068e-03   -3.2104e-05 
n=03:                                    ---           ---           ---      |  3.3838e+03    +2.4112e+02   -1.5597e-02 
n=04:                                8.7278e+05    -1.2415e+03   +9.3962e-04  |  3.4590e+04    -3.1523e+02   +2.3857e-04 
n=06:                                4.3982e+09    +1.9099e+07   -1.9787e-03  |  8.3601e+08    +6.3112e+06   -6.5386e-04 
n=07:                                    ---           ---           ---      |  4.6732e+10    -2.7976e+08   +3.3911e-04 
n=08:                                3.1809e+13    +4.5277e+10   -6.4212e-04  |  8.0961e+12    -5.3360e+10   +7.5676e-04 
n=09:                                    ---           ---           ---      |  5.9998e+14    -4.3483e+12   +7.2152e-04 
n=10:                                    ---           ---           ---      |  2.6914e+16    +1.6082e+14   -3.1221e-04 
n=13:                                    ---           ---           ---      |  1.3474e+22    +6.0118e+19   -1.8693e-04 
n=14:                                1.7931e+24    -2.0228e+22   +7.3590e-04  |      ---           ---           ---     
