# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=6][T/m^n] polynom_b[n=8][T/m^n] polynom_b[n=14][T/m^n] 
+0.0000000000000000e+00 -1.5733212802585198e-04 -2.4676634004942725e+03 -2.3215080764780714e+02 -4.7026169683603823e+07 +4.1225654230538506e+12 -4.7263263074213863e+23 
+1.0000000000000001e-01 -1.5733882714680643e-04 -2.4676617804103171e+03 -3.1833194042981307e+02 -4.5465085055578649e+07 +4.1133108905584971e+12 -4.7191131087580910e+23 
+2.0000000000000001e-01 -1.5735735474180934e-04 -2.4676572954598637e+03 -5.5768575636753064e+02 -4.1119125646833606e+07 +4.0875004888259028e+12 -4.6988695809810615e+23 
+3.0000000000000004e-01 -1.5738535599160516e-04 -2.4676505086483339e+03 -9.2142513572415839e+02 -3.4494279993494101e+07 +4.0480642749102227e+12 -4.6676900172181362e+23 
+4.0000000000000002e-01 -1.5742047624107801e-04 -2.4676419829289848e+03 -1.3807656397841909e+03 -2.6096491017483503e+07 +3.9979320497003506e+12 -4.6276685257182613e+23 
+5.0000000000000000e-01 -1.5746036077376267e-04 -2.4676322812733997e+03 -1.9069219197031912e+03 -1.6431716801416833e+07 +3.9400336980313408e+12 -4.5808992739412803e+23 
+6.0000000000000009e-01 -1.5750265480998172e-04 -2.4676219666748475e+03 -2.4711074687795262e+03 -6.0059355643917667e+06 +3.8772992194213711e+12 -4.5294765139380068e+23 
+7.0000000000000007e-01 -1.5754500365579936e-04 -2.4676116020991685e+03 -3.0445371972685134e+03 +4.6748986589387804e+06 +3.8126584772827739e+12 -4.4754943991813027e+23 
+8.0000000000000004e-01 -1.5758505256080468e-04 -2.4676017505290447e+03 -3.5984251792078003e+03 +1.5104817922329474e+07 +3.7490414119374854e+12 -4.4210471371785054e+23 
+9.0000000000000002e-01 -1.5762044684769901e-04 -2.4675929749237089e+03 -4.1039866980404840e+03 +2.4777874874745574e+07 +3.6893778480464990e+12 -4.3682288520504647e+23 
+1.0000000000000000e+00 -1.5764883170946628e-04 -2.4675858382861238e+03 -4.5324347164046112e+03 +3.3188081895917218e+07 +3.6365978394237026e+12 -4.3191338369679066e+23 
