# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=6][T/m^n] polynom_b[n=8][T/m^n] polynom_b[n=14][T/m^n] 
+0.0000000000000000e+00 -2.1019110204143421e-02 -2.3921074284567790e+03 -3.9939559742054838e+05 -3.5677915539273906e+08 +3.8110982588390972e+12 -3.4239272890834157e+23 
+1.0000000000000001e-01 -2.1019109226875249e-02 -2.3921076382156061e+03 -3.9938662394976715e+05 -3.5701094011232960e+08 +3.8129022700143301e+12 -3.4258116320791014e+23 
+2.0000000000000001e-01 -2.1019106564390013e-02 -2.3921082283220321e+03 -3.9936118468381307e+05 -3.5767558639675665e+08 +3.8180820120902739e+12 -3.4312095243599908e+23 
+3.0000000000000004e-01 -2.1019102620857186e-02 -2.3921091399643442e+03 -3.9932150402243272e+05 -3.5872699058645242e+08 +3.8262888324098301e+12 -3.4397381410240741e+23 
+4.0000000000000002e-01 -2.1019097800258110e-02 -2.3921103143869555e+03 -3.9926980368990201e+05 -3.6011909105164182e+08 +3.8371742957914531e+12 -3.4510147792993756e+23 
+5.0000000000000000e-01 -2.1019092506797978e-02 -2.3921116927684807e+03 -3.9920830852983403e+05 -3.6180577730673909e+08 +3.8503897147464033e+12 -3.4646565951725909e+23 
+6.0000000000000009e-01 -2.1019087144456969e-02 -2.3921132163529692e+03 -3.9913924030009465e+05 -3.6374098703600359e+08 +3.8655866499808896e+12 -3.4802808830227428e+23 
+7.0000000000000007e-01 -2.1019082117400539e-02 -2.3921148263307791e+03 -3.9906482328689785e+05 -3.6587861847737181e+08 +3.8824164589921914e+12 -3.4975048238942863e+23 
+8.0000000000000004e-01 -2.1019077829687330e-02 -2.3921164639225462e+03 -3.9898728036996926e+05 -3.6817259161258310e+08 +3.9005306105583545e+12 -3.5159456601733143e+23 
+9.0000000000000002e-01 -2.1019074685393119e-02 -2.3921180703459750e+03 -3.9890883450656122e+05 -3.7057682586618161e+08 +3.9195805730515015e+12 -3.5352206365467231e+23 
+1.0000000000000000e+00 -2.1019073088597622e-02 -2.3921195868159316e+03 -3.9883170883834432e+05 -3.7304523724163580e+08 +3.9392177951778979e+12 -3.5549469846514395e+23 
+1.1000000000000001e+00 -2.1019073318654546e-02 -2.3921209728678455e+03 -3.9875750963309850e+05 -3.7554023786721629e+08 +3.9591407945694380e+12 -3.5747830248107935e+23 
+1.2000000000000002e+00 -2.1019075155483100e-02 -2.3921222614876624e+03 -3.9868536735299270e+05 -3.7805835805068243e+08 +3.9792370681455874e+12 -3.5945518394634935e+23 
+1.3000000000000000e+00 -2.1019078254313192e-02 -2.3921235039699800e+03 -3.9861379617962753e+05 -3.8060461464132756e+08 +3.9994411312057007e+12 -3.6141175703983897e+23 
+1.4000000000000001e+00 -2.1019082270365596e-02 -2.3921247516121061e+03 -3.9854131016866822e+05 -3.8318402644059789e+08 +4.0196875090835557e+12 -3.6333443650135033e+23 
+1.5000000000000000e+00 -2.1019086858844134e-02 -2.3921260557160504e+03 -3.9846642315740342e+05 -3.8580161561354315e+08 +4.0399107442286592e+12 -3.6520963799597250e+23 
+1.6000000000000001e+00 -2.1019091674946859e-02 -2.3921274675869581e+03 -3.9838764879825956e+05 -3.8846240760520905e+08 +4.0600453974954229e+12 -3.6702377837435981e+23 
+1.7000000000000002e+00 -2.1019096373930717e-02 -2.3921290385111615e+03 -3.9830350167187967e+05 -3.9117141296134651e+08 +4.0800259514897827e+12 -3.6876326997809341e+23 
+1.8000000000000000e+00 -2.1019100610877771e-02 -2.3921308198272745e+03 -3.9821249386089563e+05 -3.9393368151681888e+08 +4.0997870922227300e+12 -3.7041453657304563e+23 
+1.9000000000000001e+00 -2.1019104041096959e-02 -2.3921328628077040e+03 -3.9811314057617250e+05 -3.9675421422041005e+08 +4.1192632536635898e+12 -3.7196398786180283e+23 
+2.0000000000000000e+00 -2.1019106319735612e-02 -2.3921352187711436e+03 -3.9800395485541900e+05 -3.9963804590762317e+08 +4.1383890443951699e+12 -3.7339804330109744e+23 
+2.1000000000000001e+00 -2.1019107240064012e-02 -2.3921379083129009e+03 -3.9788458980879106e+05 -4.0257596973033673e+08 +4.1570477190161504e+12 -3.7470328510563005e+23 
+2.2000000000000002e+00 -2.1019107147426483e-02 -2.3921408292566198e+03 -3.9775925301981723e+05 -4.0550190402431715e+08 +4.1749175949800947e+12 -3.7586697386044578e+23 
+2.3000000000000003e+00 -2.1019106525139785e-02 -2.3921438487456030e+03 -3.9763329012819199e+05 -4.0833555682660198e+08 +4.1916257972644185e+12 -3.7687654190853784e+23 
+2.4000000000000004e+00 -2.1019105856610747e-02 -2.3921468338971827e+03 -3.9751204798636260e+05 -4.1099661739539850e+08 +4.2067993547262529e+12 -3.7771941630704181e+23 
+2.5000000000000000e+00 -2.1019105625186437e-02 -2.3921496518474778e+03 -3.9740087252779515e+05 -4.1340478965220290e+08 +4.2200653728842505e+12 -3.7838302849075832e+23 
+2.6000000000000001e+00 -2.1019106314295238e-02 -2.3921521697045573e+03 -3.9730511111950298e+05 -4.1547975404296309e+08 +4.2310508323736904e+12 -3.7885480255109474e+23 
+2.7000000000000002e+00 -2.1019108407217824e-02 -2.3921542546244559e+03 -3.9723010874402121e+05 -4.1714122942252129e+08 +4.2393829159049409e+12 -3.7912217424293786e+23 
+2.8000000000000003e+00 -2.1019112387399449e-02 -2.3921557737131366e+03 -3.9718121278985159e+05 -4.1830889671645659e+08 +4.2446886096125415e+12 -3.7917256827095435e+23 
+2.9000000000000004e+00 -2.1019118738183608e-02 -2.3921565941062408e+03 -3.9716376925713819e+05 -4.1890245833171350e+08 +4.2465950094246558e+12 -3.7899341535110081e+23 
+3.0000000000000000e+00 -2.1019127942935950e-02 -2.3921565829329256e+03 -3.9718312444515357e+05 -4.1884161211314946e+08 +4.2447291882555728e+12 -3.7857214497773489e+23 
+3.1000000000000001e+00 -2.1019140307407955e-02 -2.3921556553806304e+03 -3.9724271933827212e+05 -4.1807353710347790e+08 +4.2388564076216860e+12 -3.7790301007396385e+23 
+3.2000000000000002e+00 -2.1019155427228254e-02 -2.3921539187666267e+03 -3.9733837866542500e+05 -4.1665525775834489e+08 +4.2292942700674355e+12 -3.7700753382462106e+23 
+3.3000000000000003e+00 -2.1019172720260368e-02 -2.3921515285121650e+03 -3.9746401964762562e+05 -4.1467131432782882e+08 +4.2164987462811797e+12 -3.7591407297825908e+23 
+3.4000000000000004e+00 -2.1019191604581270e-02 -2.3921486399742803e+03 -3.9761356256905152e+05 -4.1220619896300232e+08 +4.2009255582445635e+12 -3.7465097034581369e+23 
+3.5000000000000000e+00 -2.1019211498081149e-02 -2.3921454085649266e+03 -3.9778092512701330e+05 -4.0934444410702980e+08 +4.1830306351071641e+12 -3.7324658023532946e+23 
+3.6000000000000001e+00 -2.1019231818769305e-02 -2.3921419896612247e+03 -3.9796002665977919e+05 -4.0617055661076576e+08 +4.1632697742232065e+12 -3.7172924960887834e+23 
+3.7000000000000002e+00 -2.1019251984599568e-02 -2.3921385386567181e+03 -3.9814478572417964e+05 -4.0276905560350317e+08 +4.1420988365437646e+12 -3.7012732901361624e+23 
+3.8000000000000003e+00 -2.1019271413490193e-02 -2.3921352109575901e+03 -3.9832912021758338e+05 -3.9922447116948450e+08 +4.1199737419003618e+12 -3.6846917252340200e+23 
+3.9000000000000004e+00 -2.1019289523478434e-02 -2.3921321619306864e+03 -3.9850695002298732e+05 -3.9562130103455448e+08 +4.0973502383628550e+12 -3.6678312412923262e+23 
+4.0000000000000000e+00 -2.1019305732481810e-02 -2.3921295469811771e+03 -3.9867219312043063e+05 -3.9204407361977661e+08 +4.0746842357889653e+12 -3.6509753720386077e+23 
+4.1000000000000005e+00 -2.1019319623328266e-02 -2.3921274823381082e+03 -3.9881987186901533e+05 -3.8856994352780807e+08 +4.0524156720353184e+12 -3.6344193941432375e+23 
+4.2000000000000002e+00 -2.1019331438097939e-02 -2.3921259276476299e+03 -3.9894942020726204e+05 -3.8524666470565927e+08 +4.0309210912410054e+12 -3.6185058379664151e+23 
