--- multipoles on reference trajectory (rz > 0) ---
effective_length:                   75.04763551103514 mm
perpendicular_grid:                 41 points in [-12.000000,+12.000000] mm
max_fitting_error_normal            1.836/3508.047 G/G
max_fitting_error_skew              0.528/0.627 G/G
r0_for_relative_multipoles          12 mm
main_monomial                       n = 2, skew:False
                                       Nn(s=0)      Integ_Nn     Nn/N0(@r0)   |    Sn(s=0)      Integ_Sn     Sn/S0(@r0)  
<multipole_order n>                    [T/m^n]      [T.m/m^n]        []       |    [T/m^n]      [T.m/m^n]        []      
n=00:                                1.7198e-02    -1.5944e-03   +5.9704e-02  |  1.7347e-07    -7.7477e-08   +2.9011e-06 
n=01:                                    ---           ---           ---      |  1.2234e-04    -5.5436e-06   +2.4910e-06 
n=02:                                2.4712e+03    -1.8546e+02   +1.0000e+00  |  3.5413e-02    +1.4129e-02   -7.6184e-05 
n=03:                                    ---           ---           ---      |  7.9252e+00    +2.1601e-01   -1.3977e-05 
n=04:                                3.2690e+05    -2.2880e+04   +1.7765e-02  |  1.7478e+03    -5.7412e+02   +4.4578e-04 
n=06:                                3.1067e+08    -3.4922e+07   +3.9046e-03  |  3.2351e+07    +9.3175e+06   -1.0418e-03 
n=07:                                    ---           ---           ---      |  3.4080e+09    -6.4264e+07   +8.6224e-05 
n=08:                                4.7146e+12    +2.9784e+11   -4.7954e-03  |  2.3885e+11    -6.5251e+10   +1.0506e-03 
n=09:                                    ---           ---           ---      |  3.2860e+13    +5.2710e+11   -1.0184e-04 
n=10:                                    ---           ---           ---      |  5.5116e+14    +1.6580e+14   -3.8440e-04 
n=13:                                    ---           ---           ---      |  5.6031e+20    -7.4808e+18   +2.9971e-05 
n=14:                                3.7738e+23    -3.0538e+22   +1.4682e-03  |      ---           ---           ---     
