# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=6][T/m^n] polynom_b[n=8][T/m^n] polynom_b[n=14][T/m^n] 
+0.0000000000000000e+00 -1.8556338378904476e-02 -2.7012282283276099e+03 -3.5276746261480625e+05 -3.3819384677079707e+08 +5.1532716652753486e+12 -4.2951149147460886e+23 
+1.0000000000000001e-01 -1.8556333768434310e-02 -2.7012298814163064e+03 -3.5267554413193231e+05 -3.3991366539332610e+08 +5.1636088419566973e+12 -4.3032569521960474e+23 
+2.0000000000000001e-01 -1.8556321204618156e-02 -2.7012343884499687e+03 -3.5242382459640625e+05 -3.4462872635481924e+08 +5.1919458201942441e+12 -4.3254643360548615e+23 
+3.0000000000000004e-01 -1.8556302589065436e-02 -2.7012410710068675e+03 -3.5204836171927361e+05 -3.5167237121672916e+08 +5.2342703989695889e+12 -4.3584087023924510e+23 
+4.0000000000000002e-01 -1.8556279823202508e-02 -2.7012492507265356e+03 -3.5158520998811186e+05 -3.6037799707961041e+08 +5.2865706915156836e+12 -4.3987619164165143e+23 
+5.0000000000000000e-01 -1.8556254808524068e-02 -2.7012582492272536e+03 -3.5107042495556897e+05 -3.7007898332703191e+08 +5.3448347134495488e+12 -4.4431957756959161e+23 
+6.0000000000000009e-01 -1.8556229446540014e-02 -2.7012673881189230e+03 -3.5054006271918310e+05 -3.8010869873691535e+08 +5.4050504153745049e+12 -4.4883820237138968e+23 
+7.0000000000000007e-01 -1.8556205638740900e-02 -2.7012759890215243e+03 -3.5003017874101480e+05 -3.8980052422404486e+08 +5.4632058213563730e+12 -4.5309924638008381e+23 
+8.0000000000000004e-01 -1.8556185286625521e-02 -2.7012833735497152e+03 -3.4957682883102581e+05 -3.9848783397920418e+08 +5.5152889145572891e+12 -4.5676988658218477e+23 
+9.0000000000000002e-01 -1.8556170291724006e-02 -2.7012888633081920e+03 -3.4921606932217727e+05 -4.0550399311974877e+08 +5.5572876263649775e+12 -4.5951729610697040e+23 
+1.0000000000000000e+00 -1.8556162555468013e-02 -2.7012917799353381e+03 -3.4898395472820807e+05 -4.1018239876930845e+08 +5.5851900722681377e+12 -4.6100866194848807e+23 
+1.1000000000000001e+00 -1.8556163481661295e-02 -2.7012916102351342e+03 -3.4890858439179859e+05 -4.1199781561033827e+08 +5.5958176195469590e+12 -4.6097914130584321e+23 
+1.2000000000000002e+00 -1.8556172483157427e-02 -2.7012885018169677e+03 -3.4898622943172895e+05 -4.1099060926978582e+08 +5.5893253871132549e+12 -4.5943582736573410e+23 
+1.3000000000000000e+00 -1.8556188475165037e-02 -2.7012827674639284e+03 -3.4920520527804043e+05 -4.0734252295724046e+08 +5.5667018069808018e+12 -4.5645378860686667e+23 
+1.4000000000000001e+00 -1.8556210372791013e-02 -2.7012747199916294e+03 -3.4955382569550636e+05 -4.0123532810887098e+08 +5.5289354691961797e+12 -4.5210810484558327e+23 
+1.5000000000000000e+00 -1.8556237091144810e-02 -2.7012646722153168e+03 -3.5002040444948024e+05 -3.9285079633506596e+08 +5.4770149654249219e+12 -4.4647385608005681e+23 
+1.6000000000000001e+00 -1.8556267545396549e-02 -2.7012529369284835e+03 -3.5059325648709200e+05 -3.8237067852603996e+08 +5.4119287688308359e+12 -4.3962611353159598e+23 
+1.7000000000000002e+00 -1.8556300650664562e-02 -2.7012398269445089e+03 -3.5126069565089309e+05 -3.6997674514725906e+08 +5.3346654652158740e+12 -4.3163995683155977e+23 
+1.8000000000000000e+00 -1.8556335322186042e-02 -2.7012256550354264e+03 -3.5201103798670322e+05 -3.5585072848802876e+08 +5.2462134237722041e+12 -4.2259044977899875e+23 
+1.9000000000000001e+00 -1.8556370475039524e-02 -2.7012107340263360e+03 -3.5283259676546598e+05 -3.4017440837623775e+08 +5.1475612813907607e+12 -4.1255267549624984e+23 
+2.0000000000000000e+00 -1.8556405024310631e-02 -2.7011953767396712e+03 -3.5371368539432524e+05 -3.2312956242240775e+08 +5.0396976631494746e+12 -4.0160171637006187e+23 
+2.1000000000000001e+00 -1.8556437882468583e-02 -2.7011799379925860e+03 -3.5463774098710797e+05 -3.0500839088322526e+08 +4.9243613870351777e+12 -3.8989444737668825e+23 
+2.2000000000000002e+00 -1.8556467951061639e-02 -2.7011649407241766e+03 -3.5556868823150796e+05 -2.8654490667596471e+08 +4.8062927223633096e+12 -3.7791496204861181e+23 
+2.3000000000000003e+00 -1.8556494128658511e-02 -2.7011509499885306e+03 -3.5646556920467841e+05 -2.6858365428199250e+08 +4.6909827484743486e+12 -3.6622919169075024e+23 
+2.4000000000000004e+00 -1.8556515314040869e-02 -2.7011385307680757e+03 -3.5728742978906410e+05 -2.5196911207662013e+08 +4.5839221680818906e+12 -3.5540303975097610e+23 
+2.5000000000000000e+00 -1.8556530405990545e-02 -2.7011282480454956e+03 -3.5799331583165051e+05 -2.3754575935020372e+08 +4.4906016904383516e+12 -3.4600241034895984e+23 
+2.6000000000000001e+00 -1.8556538303203595e-02 -2.7011206668338441e+03 -3.5854227154123719e+05 -2.2615810406407773e+08 +4.4165121888216484e+12 -3.3859321980443141e+23 
+2.7000000000000002e+00 -1.8556537904330660e-02 -2.7011163521577241e+03 -3.5889334061202931e+05 -2.1865066205300638e+08 +4.3671445771896338e+12 -3.3374138691224156e+23 
+2.8000000000000003e+00 -1.8556528108186927e-02 -2.7011158689904782e+03 -3.5900556934258976e+05 -2.1586790521515623e+08 +4.3479895243922705e+12 -3.3201281301580765e+23 
+2.9000000000000004e+00 -1.8556507813461701e-02 -2.7011197823439034e+03 -3.5883800209695479e+05 -2.1865433789695835e+08 +4.3645378796093364e+12 -3.3397341221736875e+23 
+3.0000000000000000e+00 -1.8556475918880044e-02 -2.7011286572213999e+03 -3.5834968358688580e+05 -2.2785445945057249e+08 +4.4222804676302090e+12 -3.4018909732873531e+23 
+3.1000000000000001e+00 -1.8556431937788258e-02 -2.7011427846242891e+03 -3.5751799623229110e+05 -2.4394151858101729e+08 +4.5243032111445156e+12 -3.5097326414445662e+23 
+3.2000000000000002e+00 -1.8556377841902200e-02 -2.7011613595977797e+03 -3.5639367010387982e+05 -2.6590382141753358e+08 +4.6640727857057012e+12 -3.6562926968950386e+23 
+3.3000000000000003e+00 -1.8556316217609996e-02 -2.7011833031666470e+03 -3.5504577399559232e+05 -2.9235840532570773e+08 +4.8326508595756270e+12 -3.8320794592886150e+23 
+3.4000000000000004e+00 -1.8556249651219610e-02 -2.7012075363872655e+03 -3.5354337488152250e+05 -3.2192234090597183e+08 +5.0210992968767988e+12 -4.0276014016235304e+23 
+3.5000000000000000e+00 -1.8556180729140184e-02 -2.7012329802781892e+03 -3.5195554186494445e+05 -3.5321266035576189e+08 +5.2204797371761738e+12 -4.2333668232119312e+23 
+3.6000000000000001e+00 -1.8556112037662616e-02 -2.7012585559000431e+03 -3.5035134173619922e+05 -3.8484643701829362e+08 +5.4218540585013496e+12 -4.4398842052306544e+23 
+3.7000000000000002e+00 -1.8556046163215927e-02 -2.7012831842660253e+03 -3.4879984383732657e+05 -4.1544069949267209e+08 +5.6162838821834971e+12 -4.6376618365003635e+23 
+3.8000000000000003e+00 -1.8555985692084258e-02 -2.7013057864390398e+03 -3.4737011484841653e+05 -4.4361252284706450e+08 +5.7948310951495205e+12 -4.8172082033513838e+23 
+3.9000000000000004e+00 -1.8555933210668927e-02 -2.7013252834398468e+03 -3.4613122375165013e+05 -4.6797894152103287e+08 +5.9485573505177100e+12 -4.9690316164281063e+23 
+4.0000000000000000e+00 -1.8555891305266550e-02 -2.7013405963281357e+03 -3.4515223737862776e+05 -4.8715702812672222e+08 +6.0685245218228027e+12 -5.0836405527770731e+23 
+4.1000000000000005e+00 -1.8555861994251816e-02 -2.7013508630137321e+03 -3.4448873742956988e+05 -5.0002769534266233e+08 +6.1474774398843721e+12 -5.1533363840076193e+23 
+4.2000000000000002e+00 -1.8555845023984132e-02 -2.7013560889255650e+03 -3.4414235866791761e+05 -5.0652732823149139e+08 +6.1848934051244316e+12 -5.1775925342754543e+23 
+4.2999999999999998e+00 -1.8555839572799632e-02 -2.7013564963807685e+03 -3.4410124861543241e+05 -5.0685618944453138e+08 +6.1819328921278340e+12 -5.1576754862480759e+23 
+4.4000000000000004e+00 -1.8555844819055114e-02 -2.7013523076870938e+03 -3.4435355535914749e+05 -5.0121453107895333e+08 +6.1397563124526826e+12 -5.0948516722643708e+23 
+4.5000000000000000e+00 -1.8555859940999526e-02 -2.7013437451901768e+03 -3.4488742493011284e+05 -4.8980264145242661e+08 +6.0595242860759873e+12 -4.9903876815942653e+23 
+4.6000000000000005e+00 -1.8555884117117435e-02 -2.7013310311566702e+03 -3.4569100754287833e+05 -4.7282073631356663e+08 +5.9423970198985127e+12 -4.8455497983429652e+23 
+4.7000000000000002e+00 -1.8555916525616691e-02 -2.7013143879447302e+03 -3.4675244860165199e+05 -4.5046911443379438e+08 +5.7895351916702178e+12 -4.6616046521050228e+23 
+4.8000000000000007e+00 -1.8555956344874263e-02 -2.7012940378570270e+03 -3.4805989642075257e+05 -4.2294802440070522e+08 +5.6020991946279316e+12 -4.4398186637520357e+23 
+4.9000000000000004e+00 -1.8556002753278494e-02 -2.7012702031919989e+03 -3.4960149953280797e+05 -3.9045771119398689e+08 +5.3812494024712539e+12 -4.1814582414043866e+23 
+5.0000000000000000e+00 -1.8556054929089311e-02 -2.7012431062906808e+03 -3.5136540425204497e+05 -3.5319845769178843e+08 +5.1281464018743096e+12 -3.8877899463468283e+23 
+5.1000000000000005e+00 -1.8556111868426955e-02 -2.7012131064591872e+03 -3.5332968353138177e+05 -3.1159742010558796e+08 +4.8455368299555107e+12 -3.5618921956722323e+23 
+5.2000000000000002e+00 -1.8556171838030568e-02 -2.7011811111399002e+03 -3.5543210233936214e+05 -2.6698949875888148e+08 +4.5425129457884570e+12 -3.2140918669148595e+23 
+5.3000000000000007e+00 -1.8556232922450303e-02 -2.7011481647515225e+03 -3.5760035186051443e+05 -2.2093647261734533e+08 +4.2297530808528716e+12 -2.8565276987579347e+23 
+5.4000000000000004e+00 -1.8556293206194847e-02 -2.7011153117317658e+03 -3.5976212212822703e+05 -1.7500014217847490e+08 +3.9179356952405981e+12 -2.5013385323872719e+23 
+5.5000000000000000e+00 -1.8556350773743471e-02 -2.7010835965253696e+03 -3.6184510287690640e+05 -1.3074231236113435e+08 +3.6177392713106978e+12 -2.1606632219199131e+23 
+5.6000000000000005e+00 -1.8556403709624886e-02 -2.7010540635618809e+03 -3.6377698461175972e+05 -8.9724775066911563e+07 +3.3398422186766582e+12 -1.8466405693991712e+23 
+5.7000000000000002e+00 -1.8556450098366491e-02 -2.7010277572697778e+03 -3.6548545793534856e+05 -5.3509320074899882e+07 +3.0949229331989028e+12 -1.5714093646332452e+23 
+5.8000000000000007e+00 -1.8556488024454865e-02 -2.7010057220922922e+03 -3.6689821264484967e+05 -2.3657751335074026e+07 +2.8936598920212461e+12 -1.3471084580249402e+23 
+5.9000000000000004e+00 -1.8556515572407790e-02 -2.7009890024629108e+03 -3.6794293902124808e+05 -1.7318648765038229e+06 +2.7467315293728853e+12 -1.1858766715051515e+23 
+6.0000000000000000e+00 -1.8556530826774817e-02 -2.7009786428019088e+03 -3.6854732812627777e+05 +1.0706557811787855e+07 +2.6648161924824814e+12 -1.0998527568566905e+23 
+6.1000000000000005e+00 -1.8556532422544795e-02 -2.7009753796832624e+03 -3.6866063038811146e+05 +1.2563513976812182e+07 +2.6553831468842095e+12 -1.0974933158139178e+23 
+6.2000000000000002e+00 -1.8556521197279786e-02 -2.7009787180048133e+03 -3.6831834956267168e+05 +4.6163959395955121e+06 +2.7130637170219004e+12 -1.1725251318356374e+23 
+6.3000000000000007e+00 -1.8556498538965904e-02 -2.7009878548210013e+03 -3.6757754869511141e+05 -1.1889625613566292e+07 +2.8292801435526958e+12 -1.3149928308070403e+23 
+6.4000000000000004e+00 -1.8556465835612254e-02 -2.7010019871776776e+03 -3.6649529129979835e+05 -3.5709371780882515e+07 +2.9954546203019951e+12 -1.5149410042952547e+23 
+6.5000000000000000e+00 -1.8556424475295433e-02 -2.7010203120995825e+03 -3.6512864196197264e+05 -6.5597645608139977e+07 +3.2030092403966260e+12 -1.7624141720926201e+23 
+6.6000000000000005e+00 -1.8556375846000676e-02 -2.7010420266412352e+03 -3.6353466373057530e+05 -1.0030927624710108e+08 +3.4433662431756831e+12 -2.0474569585886682e+23 
+6.7000000000000002e+00 -1.8556321335764913e-02 -2.7010663278394377e+03 -3.6177042058972747e+05 -1.3859907675193468e+08 +3.7079477770756685e+12 -2.3601139222983617e+23 
+6.8000000000000007e+00 -1.8556262332658818e-02 -2.7010924127203084e+03 -3.5989297707773186e+05 -1.7922185065462375e+08 +3.9881759366026216e+12 -2.6904295821285795e+23 
+6.9000000000000004e+00 -1.8556200224665056e-02 -2.7011194783385954e+03 -3.5795939623200987e+05 -2.2093242739879134e+08 +4.2754729633694380e+12 -3.0284485652854173e+23 
+7.0000000000000000e+00 -1.8556136399868400e-02 -2.7011467217164568e+03 -3.5602674278749118e+05 -2.6248560721523151e+08 +4.5612609334503848e+12 -3.3642153774420687e+23 
+7.1000000000000005e+00 -1.8556072250576643e-02 -2.7011733865970982e+03 -3.5414802257735183e+05 -3.0273027335726041e+08 +4.8376181741174590e+12 -3.6885245332261026e+23 
+7.2000000000000002e+00 -1.8556009186338519e-02 -2.7011989035013662e+03 -3.5236001124893717e+05 -3.4089154927710360e+08 +5.0992475022692314e+12 -3.9951702120460901e+23 
+7.3000000000000007e+00 -1.8555948621014815e-02 -2.7012227496403284e+03 -3.5069542723856133e+05 -3.7628861135151803e+08 +5.3415078113852900e+12 -4.2786964688013624e+23 
+7.4000000000000004e+00 -1.8555891968512331e-02 -2.7012444022124650e+03 -3.4918698954895418e+05 -4.0824062733549124e+08 +5.5597579508361289e+12 -4.5336473324308428e+23 
+7.5000000000000000e+00 -1.8555840642644244e-02 -2.7012633384465348e+03 -3.4786741561886022e+05 -4.3606679163109577e+08 +5.7493569196616387e+12 -4.7545669397209326e+23 
+7.6000000000000005e+00 -1.8555796057293700e-02 -2.7012790355474667e+03 -3.4676942416709231e+05 -4.5908627619933295e+08 +5.9056635881294023e+12 -4.9359993308704079e+23 
+7.7000000000000002e+00 -1.8555759626360462e-02 -2.7012909707154313e+03 -3.4592573413164465e+05 -4.7661824962712705e+08 +6.0240368091789941e+12 -5.0724885359583093e+23 
+7.8000000000000007e+00 -1.8555732763664502e-02 -2.7012986211763782e+03 -3.4536906311581441e+05 -4.8798190326620418e+08 +6.0998355636400762e+12 -5.1585786771195495e+23 
+7.9000000000000004e+00 -1.8555716883067827e-02 -2.7013014641427458e+03 -3.4513212942292157e+05 -4.9249641652637899e+08 +6.1284187652645537e+12 -5.1888138282599759e+23 
+8.0000000000000000e+00 -1.8555713398430922e-02 -2.7012989768278003e+03 -3.4524765130486828e+05 -4.8948096975926638e+08 +6.1051453332561768e+12 -5.1577380672604399e+23 
+8.0999999999999996e+00 -1.8555723125615486e-02 -2.7012908776494851e+03 -3.4573239853669750e+05 -4.7859813260629374e+08 +6.0277661800360020e+12 -5.0627841505760282e+23 
+8.2000000000000011e+00 -1.8555744488478118e-02 -2.7012778498494208e+03 -3.4653934668521606e+05 -4.6088403737836003e+08 +5.9036002230648691e+12 -4.9129395732604874e+23 
+8.3000000000000007e+00 -1.8555775312776419e-02 -2.7012608179097051e+03 -3.4760552089570893e+05 -4.3771823980768692e+08 +5.7423585684617373e+12 -4.7200806541351468e+23 
+8.4000000000000004e+00 -1.8555813424251676e-02 -2.7012407063153178e+03 -3.4886794623205555e+05 -4.1048029630398870e+08 +5.5537523234973525e+12 -4.4960837097877058e+23 
+8.5000000000000000e+00 -1.8555856648860326e-02 -2.7012184394821256e+03 -3.5026365131904616e+05 -3.8054970267320812e+08 +5.3474922552079072e+12 -4.2528248116276200e+23 
+8.5999999999999996e+00 -1.8555902812284586e-02 -2.7011949419143416e+03 -3.5172966022111493e+05 -3.4930603242808384e+08 +5.1332895672142793e+12 -4.0021803459895038e+23 
+8.7000000000000011e+00 -1.8555949740343098e-02 -2.7011711380742786e+03 -3.5320299910355493e+05 -3.1812882397233385e+08 +4.9208552686075449e+12 -3.7560265623396757e+23 
+8.8000000000000007e+00 -1.8555995258825803e-02 -2.7011479524304609e+03 -3.5462069390276953e+05 -2.8839761857079458e+08 +4.7199003803832988e+12 -3.5262397133530640e+23 
+8.9000000000000004e+00 -1.8556037193598360e-02 -2.7011263094289193e+03 -3.5591977166362782e+05 -2.6149193921139660e+08 +4.5401358233817490e+12 -3.3246959828909839e+23 
+9.0000000000000000e+00 -1.8556073370385822e-02 -2.7011071335609381e+03 -3.5703725709006342e+05 -2.3879134881092289e+08 +4.3912727428433687e+12 -3.1632717165515916e+23 
+9.0999999999999996e+00 -1.8556102066679726e-02 -2.7010911545273652e+03 -3.5792409370909468e+05 -2.2135828057002905e+08 +4.2807202922349321e+12 -3.0509018285199832e+23 
+9.2000000000000011e+00 -1.8556123366307502e-02 -2.7010783231069877e+03 -3.5858688781185268e+05 -2.0898686406936809e+08 +4.2066808742792393e+12 -2.9847563935518081e+23 
+9.3000000000000007e+00 -1.8556137804732094e-02 -2.7010683953338198e+03 -3.5904616205398442e+05 -2.0115414219749543e+08 +4.1650551461314268e+12 -2.9590642382640489e+23 
+9.4000000000000004e+00 -1.8556145917432241e-02 -2.7010611272350611e+03 -3.5932243948242714e+05 -1.9733715078426212e+08 +4.1517437238603511e+12 -2.9680541579887593e+23 
+9.5000000000000000e+00 -1.8556148239987962e-02 -2.7010562748035873e+03 -3.5943624498415977e+05 -1.9701289344403851e+08 +4.1626470388590869e+12 -3.0059548098044475e+23 
+9.6000000000000014e+00 -1.8556145307776217e-02 -2.7010535941003682e+03 -3.5940809983414999e+05 -1.9965843650954241e+08 +4.1936658797378076e+12 -3.0669951148621430e+23 
+9.7000000000000011e+00 -1.8556137656347765e-02 -2.7010528411296686e+03 -3.5925852826943749e+05 -2.0475079540228623e+08 +4.2407007472672954e+12 -3.1454037843819652e+23 
+9.8000000000000007e+00 -1.8556125821167471e-02 -2.7010537719228241e+03 -3.5900805313720572e+05 -2.1176700915879649e+08 +4.2996522745970737e+12 -3.2354096245539550e+23 
+9.9000000000000004e+00 -1.8556110337694429e-02 -2.7010561425135761e+03 -3.5867719715075794e+05 -2.2018411920550919e+08 +4.3664211087970674e+12 -3.3312414524139255e+23 
+1.0000000000000000e+01 -1.8556091741494574e-02 -2.7010597089008838e+03 -3.5828648482903111e+05 -2.2947913607555097e+08 +4.4369077228016758e+12 -3.4271279585195038e+23 
+1.0100000000000001e+01 -1.8556070573960508e-02 -2.7010642193911149e+03 -3.5785581342466880e+05 -2.3916475508741936e+08 +4.5073874335425820e+12 -3.5179799144035863e+23 
+1.0200000000000001e+01 -1.8556047400791541e-02 -2.7010693911882045e+03 -3.5740258859415288e+05 -2.4889610917818549e+08 +4.5756332239926094e+12 -3.6014351609262329e+23 
+1.0300000000000001e+01 -1.8556022793489634e-02 -2.7010749338153337e+03 -3.5694358800119907e+05 -2.5836402970747524e+08 +4.6397930026227500e+12 -3.6758136847080957e+23 
+1.0400000000000000e+01 -1.8555997323714855e-02 -2.7010805567413367e+03 -3.5649559220924688e+05 -2.6725929760285357e+08 +4.6980143906153809e+12 -3.7394352603439751e+23 
+1.0500000000000000e+01 -1.8555971563090936e-02 -2.7010859694477094e+03 -3.5607538110833155e+05 -2.7527270544555461e+08 +4.7484450752058193e+12 -3.7906197105696579e+23 
+1.0600000000000001e+01 -1.8555946083197595e-02 -2.7010908814294407e+03 -3.5569973391311109e+05 -2.8209505709384328e+08 +4.7892328060953135e+12 -3.8276869021003951e+23 
+1.0700000000000001e+01 -1.8555921455607874e-02 -2.7010950021844569e+03 -3.5538542965023551e+05 -2.8741716006221110e+08 +4.8185253554356729e+12 -3.8489567204324576e+23 
+1.0800000000000001e+01 -1.8555898251976857e-02 -2.7010980411838273e+03 -3.5514924875485990e+05 -2.9092979758619326e+08 +4.8344703577921240e+12 -3.8527489502185579e+23 
+1.0900000000000000e+01 -1.8555877043879072e-02 -2.7010997079259155e+03 -3.5500797021779238e+05 -2.9232377788882488e+08 +4.8352155895616836e+12 -3.8373834801728648e+23 
+1.1000000000000000e+01 -1.8555858402930385e-02 -2.7010997118926061e+03 -3.5497837396592950e+05 -2.9128989230162662e+08 +4.8189087285205244e+12 -3.8011801231522800e+23 
+1.1100000000000001e+01 -1.8555842643134816e-02 -2.7010979055018324e+03 -3.5506791296043026e+05 -2.8771305428884596e+08 +4.7850038092059541e+12 -3.7439525723207654e+23 
+1.1200000000000001e+01 -1.8555829048439668e-02 -2.7010947127716995e+03 -3.5524674025144678e+05 -2.8225452456379151e+08 +4.7381794763731143e+12 -3.6714894233139894e+23 
+1.1300000000000001e+01 -1.8555816644933630e-02 -2.7010907007343021e+03 -3.5547567795256060e+05 -2.7576975293618995e+08 +4.6844211046241982e+12 -3.5910734165793897e+23 
+1.1400000000000000e+01 -1.8555804459003511e-02 -2.7010864363242249e+03 -3.5571555323852575e+05 -2.6911410281011140e+08 +4.6297135829008672e+12 -3.5099869427246734e+23 
+1.1500000000000000e+01 -1.8555791516800972e-02 -2.7010824865525951e+03 -3.5592718932477903e+05 -2.6314300501188874e+08 +4.5800421783615889e+12 -3.4355126637592898e+23 
+1.1600000000000001e+01 -1.8555776844660310e-02 -2.7010794183715207e+03 -3.5607141246877646e+05 -2.5871183868343529e+08 +4.5413918686857783e+12 -3.3749330345289532e+23 
+1.1700000000000001e+01 -1.8555759468809111e-02 -2.7010777987678084e+03 -3.5610904713325092e+05 -2.5667601351695889e+08 +4.5197478028480664e+12 -3.3355306326213920e+23 
+1.1800000000000001e+01 -1.8555738415489700e-02 -2.7010781947225264e+03 -3.5600091810157313e+05 -2.5789093352599701e+08 +4.5210950972497520e+12 -3.3245880115968626e+23 
+1.1900000000000000e+01 -1.8555712710971683e-02 -2.7010811732091529e+03 -3.5570785051662353e+05 -2.6321199691918653e+08 +4.5514188368171494e+12 -3.3493877035150150e+23 
+1.2000000000000000e+01 -1.8555681381533559e-02 -2.7010873011972635e+03 -3.5519066975735663e+05 -2.7349459749067688e+08 +4.6167040801415693e+12 -3.4172122195834137e+23 
+1.2100000000000001e+01 -1.8555643876585818e-02 -2.7010969155944636e+03 -3.5442609315662266e+05 -2.8924804346767527e+08 +4.7205252747092236e+12 -3.5324234211498231e+23 
+1.2200000000000001e+01 -1.8555601338205021e-02 -2.7011094330136975e+03 -3.5345440840277367e+05 -3.0959725586994696e+08 +4.8568141640011680e+12 -3.6877003734273857e+23 
+1.2300000000000001e+01 -1.8555555331700595e-02 -2.7011240399721651e+03 -3.5233179692634026e+05 -3.3332103916351926e+08 +5.0170917042569434e+12 -3.8728013621881304e+23 
+1.2400000000000000e+01 -1.8555507422362266e-02 -2.7011399229936974e+03 -3.5111443981166522e+05 -3.5919820372144502e+08 +5.1928788848434189e+12 -4.0774846968892168e+23 
+1.2500000000000000e+01 -1.8555459175439624e-02 -2.7011562686138313e+03 -3.4985851756837830e+05 -3.8600756941734433e+08 +5.3756967474423916e+12 -4.2915087235169892e+23 
+1.2600000000000001e+01 -1.8555412156196837e-02 -2.7011722633660411e+03 -3.4862021073485765e+05 -4.1252795650377470e+08 +5.5570663393002861e+12 -4.5046317963934712e+23 
+1.2700000000000001e+01 -1.8555367929895754e-02 -2.7011870937833460e+03 -3.4745569991709135e+05 -4.3753818353312767e+08 +5.7285086958093008e+12 -4.7066122582151844e+23 
+1.2800000000000001e+01 -1.8555328061885160e-02 -2.7011999463692919e+03 -3.4642116728237580e+05 -4.5981704205154806e+08 +5.8815446991531826e+12 -4.8872083394531183e+23 
+1.2900000000000000e+01 -1.8555294117389598e-02 -2.7012100076697361e+03 -3.4557279273684998e+05 -4.7814336302278030e+08 +6.0076954565576230e+12 -5.0361784375188519e+23 
+1.3000000000000000e+01 -1.8555267661624821e-02 -2.7012164642321754e+03 -3.4496675614913768e+05 -4.9129597746255398e+08 +6.0984820730483516e+12 -5.1432809448281482e+23 
+1.3100000000000001e+01 -1.8555249756014192e-02 -2.7012187589397267e+03 -3.4464158827372111e+05 -4.9843574805311483e+08 +6.1480683318073750e+12 -5.2014526112096750e+23 
+1.3200000000000001e+01 -1.8555239445659864e-02 -2.7012173603982374e+03 -3.4456520350899798e+05 -5.0025200622786683e+08 +6.1611906623355234e+12 -5.2163450254087989e+23 
+1.3300000000000001e+01 -1.8555235271954948e-02 -2.7012129935195944e+03 -3.4468786875557143e+05 -4.9781608647219795e+08 +6.1452280070417979e+12 -5.1967880083248691e+23 
+1.3400000000000000e+01 -1.8555235776023520e-02 -2.7012063833043899e+03 -3.4495984627164819e+05 -4.9219940310977143e+08 +6.1075597598795293e+12 -5.1516117104695630e+23 
