# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=6][T/m^n] polynom_b[n=8][T/m^n] polynom_b[n=14][T/m^n] 
+0.0000000000000000e+00 -1.7303933522594558e-02 -2.4678106317375223e+03 -3.2783265990990336e+05 -3.3800905557247996e+08 +4.8602872086539707e+12 -3.9459664521308059e+23 
+1.0000000000000001e-01 -1.7303933629222390e-02 -2.4678107208775978e+03 -3.2785328408107825e+05 -3.3738817008754748e+08 +4.8558593063062246e+12 -3.9420344577960301e+23 
+2.0000000000000001e-01 -1.7303933455643950e-02 -2.4678111276480645e+03 -3.2789881583177700e+05 -3.3590333592028302e+08 +4.8450400654331885e+12 -3.9322588069675609e+23 
+3.0000000000000004e-01 -1.7303932261826763e-02 -2.4678120610230676e+03 -3.2794474658039992e+05 -3.3412124485212386e+08 +4.8315259643677109e+12 -3.9196698681407444e+23 
+4.0000000000000002e-01 -1.7303929307538719e-02 -2.4678137300379985e+03 -3.2796656475796917e+05 -3.3260863638318318e+08 +4.8190137314317852e+12 -3.9072981534531753e+23 
+5.0000000000000000e-01 -1.7303923852805232e-02 -2.4678163436494833e+03 -3.2793976262074918e+05 -3.3193218912321138e+08 +4.8111997768079746e+12 -3.8981739931651821e+23 
+6.0000000000000009e-01 -1.7303915157456853e-02 -2.4678201108751532e+03 -3.2783982942496386e+05 -3.3265862983742750e+08 +4.8117807638075869e+12 -3.8953278638650078e+23 
+7.0000000000000007e-01 -1.7303902481414720e-02 -2.4678252407032023e+03 -3.2764225590476638e+05 -3.3535466122906184e+08 +4.8244532279385684e+12 -3.9017901668238865e+23 
+8.0000000000000004e-01 -1.7303885084536029e-02 -2.4678319421423771e+03 -3.2732253176908888e+05 -3.4058700262286270e+08 +4.8529137927345332e+12 -3.9205913549219504e+23 
+9.0000000000000002e-01 -1.7303862226749709e-02 -2.4678404241779540e+03 -3.2685614790755615e+05 -3.4892235412677383e+08 +4.9008589797634277e+12 -3.9547618211610646e+23 
+1.0000000000000000e+00 -1.7303833167933217e-02 -2.4678508958132297e+03 -3.2621859427066217e+05 -3.6092743145694208e+08 +4.9719853945554014e+12 -4.0073320089559567e+23 
+1.1000000000000001e+00 -1.7303797637231128e-02 -2.4678634075530399e+03 -3.2539906549990602e+05 -3.7687472629579753e+08 +5.0681337407350527e+12 -4.0798734717952077e+23 
