--- multipoles on reference trajectory (rz > 0) ---
effective_length:                   93.79063827900927 mm
perpendicular_grid:                 41 points in [-12.000000,+12.000000] mm
max_fitting_error_normal            0.055/1590.299 G/G
max_fitting_error_skew              0.058/190.541 G/G
r0_for_relative_multipoles          12 mm
main_monomial                       n = 0, skew:True
                                       Nn(s=0)      Integ_Nn     Nn/N0(@r0)   |    Sn(s=0)      Integ_Sn     Sn/S0(@r0)  
<multipole_order n>                    [T/m^n]      [T.m/m^n]        []       |    [T/m^n]      [T.m/m^n]        []      
n=00:                                2.1767e-04    +1.9912e-05   -8.8373e-03  |  2.4023e-02    -2.2532e-03   +1.0000e+00 
n=01:                                    ---           ---           ---      |  1.4305e-04    -1.3619e-06   +7.2535e-06 
n=02:                                2.3900e+03    -1.7992e+02   +1.1499e+01  |  9.7394e-03    +3.1373e-03   -2.0050e-04 
n=03:                                    ---           ---           ---      |  1.4878e+00    +5.7449e-02   -4.4059e-05 
n=04:                                1.1594e+03    +1.3145e+02   -1.2097e-03  |  4.5354e+05    +3.2693e+04   -3.0088e-01 
n=06:                                1.0790e+08    +5.1247e+06   -6.7915e-03  |  3.2474e+08    -2.0610e+07   +2.7313e-02 
n=07:                                    ---           ---           ---      |  9.8002e+08    -3.0086e+07   +4.7846e-04 
n=08:                                2.3126e+12    +7.9080e+10   -1.5091e-02  |  1.3362e+12    -1.1139e+11   +2.1257e-02 
n=09:                                    ---           ---           ---      |  1.0531e+13    +2.8256e+11   -6.4708e-04 
n=10:                                    ---           ---           ---      |  2.3930e+15    -1.1229e+14   +3.0859e-03 
n=13:                                    ---           ---           ---      |  1.6953e+20    -4.1948e+18   +1.9920e-04 
n=14:                                3.8160e+23    -2.5711e+22   +1.4651e-02  |      ---           ---           ---     
