# multipoles
# s[mm] polynom_a[n=0][T/m^n] polynom_a[n=1][T/m^n] polynom_a[n=2][T/m^n] polynom_a[n=3][T/m^n] polynom_a[n=4][T/m^n] polynom_a[n=6][T/m^n] polynom_a[n=7][T/m^n] polynom_a[n=8][T/m^n] polynom_a[n=9][T/m^n] polynom_a[n=10][T/m^n] polynom_a[n=13][T/m^n] 
+1.0000000000000000e+00 -2.4023240076044467e-02 +9.8020696273340524e-05 +1.4696717073786815e-02 -1.7822695732810547e+00 +4.5321339612544683e+05 -3.2124998731629646e+08 -2.4588747569217595e+08 -1.3191914577032544e+12 +2.9729686204304595e+12 -2.6065029966118555e+15 -4.6262976751211512e+19 
+1.1000000000000001e+00 -2.4023240841690868e-02 +1.0139031963570980e-04 +1.6354488711819097e-02 -1.9302626020769829e+00 +4.5309362512888509e+05 -3.1885643974120981e+08 -1.9597994186920321e+08 -1.3348114801064795e+12 +2.5363773295531919e+12 -2.5798767029656060e+15 -3.9942352133577990e+19 
+1.2000000000000002e+00 -2.4023239747271104e-02 +1.0748277131010880e-04 +1.8264446275206958e-02 -2.1039804246186145e+00 +4.5295408721185010e+05 -3.1593389908087218e+08 -1.6303851660971060e+08 -1.3556497535134597e+12 +2.2925267269911118e+12 -2.5361740872164235e+15 -3.6908295736053604e+19 
+1.3000000000000000e+00 -2.4023237024125007e-02 +1.1560768453112766e-04 +2.0370958523613307e-02 -2.2940172775889769e+00 +4.5279884389224148e+05 -3.1258213083561653e+08 -1.4377589581261116e+08 -1.3808170566706892e+12 +2.1994800248643599e+12 -2.4780132443172180e+15 -3.6345577380092596e+19 
+1.4000000000000001e+00 -2.4023232903602448e-02 +1.2507469348220881e-04 +2.2618397489871048e-02 -2.4909674424213555e+00 +4.5263195651282143e+05 -3.0890089718540555e+08 -1.3490476074331394e+08 -1.4094241941887930e+12 +2.2153003064116553e+12 -2.4080121984654435e+15 -3.7438964948876444e+19 
+1.5000000000000000e+00 -2.4023227617053007e-02 +1.3519343157169993e-04 +2.4951135216243977e-02 -2.6854251670990514e+00 +4.5245748641073069e+05 -3.0498996012089193e+08 -1.3313780234987715e+08 -1.4405819726825767e+12 +2.2980507364685630e+12 -2.3287889671864040e+15 -3.9373227472389456e+19 
+1.6000000000000001e+00 -2.4023221395822428e-02 +1.4527353385203681e-04 +2.7313542381702943e-02 -2.8679847789412332e+00 +4.5227949500171689e+05 -3.0094908321748739e+08 -1.3518768513184631e+08 -1.4734011858083657e+12 +2.4057942457403784e+12 -2.2429616048467180e+15 -4.1333130436226867e+19 
+1.7000000000000002e+00 -2.4023214471250640e-02 +1.5462463412207800e-04 +2.9649987639889762e-02 -3.0292405447673088e+00 +4.5210204381435085e+05 -2.9687803224444431e+08 -1.3776709391780588e+08 -1.5069926098316843e+12 +2.4965939455823813e+12 -2.1531482140037850e+15 -4.2503442078108680e+19 
+1.8000000000000000e+00 -2.4023207074699657e-02 +1.6255636520483432e-04 +3.1904847362650444e-02 -3.1597866758823199e+00 +4.5192919394444529e+05 -2.9287656448525208e+08 -1.3758873493674991e+08 -1.5404670888116775e+12 +2.5285131445146357e+12 -2.0619667080827072e+15 -4.2068933782345089e+19 
+1.9000000000000001e+00 -2.4023199437507928e-02 +1.6837836210242024e-04 +3.4022489626081648e-02 -3.2502175020450212e+00 +4.5176500695505057e+05 -2.8904444641942865e+08 -1.3136527006158043e+08 -1.5729353931172891e+12 +2.4596147448939736e+12 -1.9720352065962972e+15 -3.9214370495685599e+19 
+2.0000000000000000e+00 -2.4023191791025383e-02 +1.7140025850881482e-04 +3.5947286677217624e-02 -3.2911272797274043e+00 +4.5161354416940280e+05 -2.8548143973539913e+08 -1.1580938958075391e+08 -1.6035083319447214e+12 +2.2479619121148823e+12 -1.8859717195170208e+15 -3.3124521397244953e+19 
+2.1000000000000001e+00 -2.4023184327936497e-02 +1.7114386131435890e-04 +3.7633009033934663e-02 -3.2766338483478585e+00 +4.5147839040268166e+05 -2.8227651674415308e+08 -8.8469404651749879e+07 -1.6313870020761453e+12 +1.8636520798409810e+12 -1.8061409421991292e+15 -2.3251959517186712e+19 
+2.2000000000000002e+00 -2.4023177086290225e-02 +1.6797967200330320e-04 +3.9071030524694975e-02 -3.2149494528464335e+00 +4.5136122382555209e+05 -2.7947547968602645e+08 -5.0236092189748757e+07 -1.6561337543419131e+12 +1.3249196202638914e+12 -1.7338940149134118e+15 -1.0120471765093247e+19 
+2.3000000000000003e+00 -2.4023170065467489e-02 +1.6249036557090457e-04 +4.0262122447421743e-02 -3.1178099312772232e+00 +4.5126324614195770e+05 -2.7711334218150812e+08 -2.8358487968782517e+06 -1.6774012214364502e+12 +6.6203317000736768e+11 -1.6703287785368902e+15 +5.4783510102314895e+18 
+2.4000000000000004e+00 -2.4023163264854732e-02 +1.5525861543798668e-04 +4.1207057943481451e-02 -2.9969510424295036e+00 +4.5118565895406430e+05 -2.7522511587040162e+08 +5.2004901642947569e+07 -1.6948420518098630e+12 -9.4738390958452393e+10 -1.6165430301106660e+15 +2.2752914242227327e+19 
+2.5000000000000000e+00 -2.4023156683841446e-02 +1.4686709636815967e-04 +4.1906611370326093e-02 -2.8641086149551889e+00 +4.5112966379120579e+05 -2.7384581090406990e+08 +1.1255975988510138e+08 -1.7081089061451899e+12 -9.1512640355944116e+11 -1.5736345318390628e+15 +4.0911626756877918e+19 
+2.6000000000000001e+00 -2.4023150321805815e-02 +1.3789848303323221e-04 +4.2361553181427369e-02 -2.7310184693661785e+00 +4.5109646240172576e+05 -2.7301044173967344e+08 +1.7710232301502317e+08 -1.7168544106317412e+12 -1.7688621744248894e+12 -1.5427011423935588e+15 +5.9162896832438657e+19 
+2.7000000000000002e+00 -2.4023144178130468e-02 +1.2893544917922062e-04 +4.2572655264026954e-02 -2.6094163810425770e+00 +4.5108725645630021e+05 -2.7275402134317225e+08 +2.4390617277497950e+08 -1.7207312031984297e+12 -2.6256768732222261e+12 -1.5248406880503900e+15 +7.6715130645286978e+19 
+2.8000000000000003e+00 -2.4023138252210332e-02 +1.2056066959114274e-04 +4.2540693670356330e-02 -2.5110381799090771e+00 +4.5110324739478540e+05 -2.7311155817238265e+08 +3.1124491055529392e+08 -1.7193919577544346e+12 -3.4553018473907583e+12 -1.5211508946841488e+15 +9.2776737142916055e+19 
+2.9000000000000004e+00 -2.4023132543414896e-02 +1.1335681856999045e-04 +4.2266435897538014e-02 -2.4476196688478273e+00 +4.5114563712880050e+05 -2.7411806986299437e+08 +3.7739212747052580e+08 -1.7124892751869878e+12 -4.2274683500610303e+12 -1.5327296914252555e+15 +1.0655612377556258e+20 
+3.0000000000000000e+00 -2.4023127051142547e-02 +1.0790657123239193e-04 +4.1750659285883555e-02 -2.4308966931774014e+00 +4.5121562702379312e+05 -2.7580856338507169e+08 +4.4062143019308466e+08 -1.6996758414584397e+12 -4.9119077764581768e+12 -1.5606747701650388e+15 +1.1726170024247946e+20 
+3.1000000000000001e+00 -2.4023121721908673e-02 +1.0461987291494766e-04 +4.0997784365559183e-02 -2.4680005477469420e+00 +4.5131315375910705e+05 -2.7818217810796392e+08 +4.9918882150632215e+08 -1.6809394890271042e+12 -5.4826518536135928e+12 -1.6050936152763445e+15 +1.2428449948360109e+20 
+3.2000000000000002e+00 -2.4023116290741379e-02 +1.0321575823361247e-04 +4.0026820523331536e-02 -2.5476447576296017e+00 +4.5143309434188722e+05 -2.8109456436612916e+08 +5.5128004487630582e+08 -1.6576087881336826e+12 -5.9309350568884580e+12 -1.6621324507526722e+15 +1.2774606977385747e+20 
+3.3000000000000003e+00 -2.4023110439806390e-02 +1.0324053218336143e-04 +3.8860427396674897e-02 -2.6539383072508644e+00 +4.5156906070125237e+05 -2.8436549724749523e+08 +5.9506324425920045e+08 -1.6313475164237358e+12 -6.2522922356632383e+12 -1.7269471234343762e+15 +1.2795058334434453e+20 
+3.4000000000000004e+00 -2.4023103851275936e-02 +1.0424050139947378e-04 +3.7521266674424313e-02 -2.7709902630036369e+00 +4.5171466465693037e+05 -2.8781474975475657e+08 +6.2870659182146525e+08 -1.6038194679106594e+12 -6.4422584914088848e+12 -1.7946934350346138e+15 +1.2520221629311209e+20 
+3.5000000000000000e+00 -2.4023096207315426e-02 +1.0576197120357814e-04 +3.6031998064826466e-02 -2.8829096259248721e+00 +4.5186351812803251e+05 -2.9126209669989532e+08 +6.5037823761515331e+08 -1.5766884229020208e+12 -6.4963687294955840e+12 -1.8605272240086342e+15 +1.1980514174777775e+20 
+3.6000000000000001e+00 -2.4023087190089012e-02 +1.0735124705124048e-04 +3.4415280549725612e-02 -2.9738054007056864e+00 +4.5200923308240209e+05 -2.9452731394601607e+08 +6.5824633158343172e+08 -1.5516181527974585e+12 -6.4101578502086025e+12 -1.9196043546756465e+15 +1.1206353266671233e+20 
+3.7000000000000002e+00 -2.4023076481764698e-02 +1.0855463608284754e-04 +3.2693774601494426e-02 -3.0277866820240793e+00 +4.5214542140130681e+05 -2.9743017562568521e+08 +6.5047905686253166e+08 -1.5302724429872268e+12 -6.1791610564932100e+12 -1.9670806520132742e+15 +1.0228156677778445e+20 
+3.8000000000000003e+00 -2.4023063764505779e-02 +1.0891844252862784e-04 +3.0890139070616912e-02 -3.0289624139263895e+00 +4.5226569505470921e+05 -2.9979045758009589e+08 +6.2524454276565230e+08 -1.5143150653869272e+12 -5.7989130650930664e+12 -1.9981119782217998e+15 +9.0763414243456451e+19 
+3.9000000000000004e+00 -2.4023048720483407e-02 +1.0798897278658643e-04 +2.9027035368765910e-02 -2.9614416512039261e+00 +4.5236366587515583e+05 -3.0142793302950132e+08 +5.8071095765764678e+08 -1.5054098124592637e+12 -5.2649489441038193e+12 -2.0078541389574902e+15 +7.7813250662873317e+19 
+4.0000000000000000e+00 -2.4023031031862981e-02 +1.0531253221046668e-04 +2.7127123024186479e-02 -2.8093333957580233e+00 +4.5243294579813967e+05 -3.0216237719032687e+08 +5.1504645142784965e+08 -1.5052204608051660e+12 -4.5728035959634619e+12 -1.9914629840071985e+15 +6.3735249085215793e+19 
+4.1000000000000005e+00 -2.4023010538250383e-02 +1.0058625876636770e-04 +2.5214866926645974e-02 -2.5629253192041093e+00 +4.5246900398374372e+05 -3.0187283995443028e+08 +4.2757069595856595e+08 -1.5148281500329297e+12 -3.7250691092495498e+12 -1.9458799265807840e+15 +4.8834604210987221e+19 
+4.2000000000000002e+00 -2.4022987709059692e-02 +9.4110615163441540e-05 +2.3321968927960905e-02 -2.2372194865606665e+00 +4.5247473765009543e+05 -3.0067545384709638e+08 +3.2220935195019060e+08 -1.5329835977581248e+12 -2.7525654283429526e+12 -1.8751882871935005e+15 +3.3420583658063888e+19 
+4.2999999999999998e+00 -2.4022963171125691e-02 +8.6336894908669177e-05 +2.1481929562751381e-02 -1.8533965371863308e+00 +4.5245490160964517e+05 -2.9874563327527827e+08 +2.0403956794570071e+08 -1.5578548272221968e+12 -1.6931693756851018e+12 -1.7852571095516772e+15 +1.7803471915964682e+19 
+4.4000000000000004e+00 -2.4022937551301686e-02 +7.7716392197389405e-05 +1.9728255570499915e-02 -1.4326371478119269e+00 +4.5241425033573608e+05 -2.9625878610731769e+08 +7.8138505917004481e+07 -1.5876099132868879e+12 -5.8475789454770435e+11 -1.6819552946184968e+15 +2.2935553383165366e+18 
+4.5000000000000000e+00 -2.4022911476431277e-02 +6.8700402009973531e-05 +1.8094450363703905e-02 -9.9612203559575374e-01 +4.5235753848403256e+05 -2.9339032372283721e+08 -5.0416657460678145e+07 -1.6204169031516455e+12 +5.3479193781707178e+11 -1.5711518196829110e+15 -1.2798877607359439e+19 
+4.6000000000000005e+00 -2.4022885573365533e-02 +5.9740218646149092e-05 +1.6614020196440281e-02 -5.6503188241044411e-01 +4.5228952054590010e+05 -2.9031565422883332e+08 -1.7654875827199101e+08 -1.6544438704073801e+12 +1.6276031600608892e+12 -1.4587155879525000e+15 -2.7163540273022783e+19 
+4.7000000000000002e+00 -2.4022860468945435e-02 +5.1287134703141076e-05 +1.5320467480086091e-02 -1.6054728193296838e-01 +4.5221495123776386e+05 -2.8721019026596004e+08 -2.9518066400939196e+08 -1.6878588517542510e+12 +2.6557990941001558e+12 -1.3505156069297178e+15 -4.0490150407432962e+19 
+4.8000000000000007e+00 -2.4022836790026758e-02 +4.3792445611579452e-05 +1.4247299854478306e-02 +1.9615102673678803e-01 +4.5213858497928974e+05 -2.8424933859706706e+08 -4.0123519085021347e+08 -1.7188299312254973e+12 +3.5815026002281069e+12 -1.2524207512297628e+15 -5.2468418618104136e+19 
+4.9000000000000004e+00 -2.4022815163447734e-02 +3.7707445119243219e-05 +1.3428019088237191e-02 +4.8388238800035799e-01 +4.5206517651362804e+05 -2.8160851227314276e+08 -4.8963518334934974e+08 -1.7455251428628198e+12 +4.3668367910595542e+12 -1.1703000345206590e+15 -6.2788059353242649e+19 
+5.0000000000000000e+00 -2.4022796216061685e-02 +3.3483427014872007e-05 +1.2896131821780191e-02 +6.8146614869626032e-01 +4.5199948032138520e+05 -2.7946311932141608e+08 -5.5530348862000930e+08 -1.7661125601801316e+12 +4.9739248068382529e+12 -1.1100223616712898e+15 -7.1138787586416222e+19 
+5.1000000000000005e+00 -2.4022780378633250e-02 +3.1446451751589665e-05 +1.2671406989928993e-02 +7.7265897483288870e-01 +4.5194539886592829e+05 -2.7795137486023557e+08 -5.9406520411279309e+08 -1.7791829589200999e+12 +5.3703808082691787e+12 -1.0759939714576720e+15 -7.7214361443921953e+19 
+5.2000000000000002e+00 -2.4022767297626296e-02 +3.1421634045926408e-05 +1.2718679351536023e-02 +7.6096746644762980e-01 +4.5190342567011132e+05 -2.7706270605109632e+08 -6.0535466859990346e+08 -1.7850180498378855e+12 +5.5457852186557715e+12 -1.0667700953728240e+15 -8.0724745867891327e+19 
+5.3000000000000007e+00 -2.4022756423428777e-02 +3.3108857547185452e-05 +1.2989050129298397e-02 +6.5483543142729583e-01 +4.5187320201569778e+05 -2.7674934289533442e+08 -5.8950843383767033e+08 -1.7843222790556416e+12 +5.4952091510703203e+12 -1.0794432081512934e+15 -8.1383943952610181e+19 
+5.4000000000000004e+00 -2.4022747206421027e-02 +3.6208002276823339e-05 +1.3433618042083727e-02 +4.6270686036880077e-01 +4.5185436931577249e+05 -2.7696351782763320e+08 -5.4686311473827124e+08 -1.7778000741469067e+12 +5.2137242830702363e+12 -1.1111058342921090e+15 -7.8905967445380940e+19 
+5.5000000000000000e+00 -2.4022739096989543e-02 +4.0418951030952786e-05 +1.4003483793910650e-02 +1.9302560291711182e-01 +4.5184656888185360e+05 -2.7765746144066358e+08 -4.7775527703262359e+08 -1.7661558764676606e+12 +4.6964018513165439e+12 -1.1588504619108388e+15 -7.3004821305982026e+19 
+5.6000000000000005e+00 -2.4022731545515274e-02 +4.5441584835805646e-05 +1.4649746243694452e-02 -1.4576439778642319e-01 +4.5184944212379208e+05 -2.7878340617893761e+08 -3.8252152030635428e+08 -1.7500941130521370e+12 +3.9383133992695005e+12 -1.2197696180321808e+15 -6.3394515287656563e+19 
+5.7000000000000002e+00 -2.4022724002386024e-02 +5.0975785716531767e-05 +1.5323506447574206e-02 -5.4521925353070988e-01 +4.5186263033364230e+05 -2.8029358224212849e+08 -2.6149842378200510e+08 -1.7303192285085564e+12 +2.9345302849297349e+12 -1.2909557813983762e+15 -4.9789056228978303e+19 
+5.8000000000000007e+00 -2.4022715917986156e-02 +5.6721434947804899e-05 +1.5975864459193731e-02 -9.9689503597322260e-01 +4.5188577485573199e+05 -2.8214022081513673e+08 -1.1502258088373199e+08 -1.7075356597694949e+12 +1.6801239935340393e+12 -1.3695014517946758e+15 -3.1902452920637166e+19 
+5.9000000000000004e+00 -2.4022706742695573e-02 +6.2378414493100627e-05 +1.6557918798394272e-02 -1.4923478533903602e+00 +4.5191851711749879e+05 -2.8427555466577238e+08 +5.6569427894708134e+07 -1.6824478314149351e+12 +1.7016589451837106e+11 -1.4524991628206315e+15 -9.4487123774558556e+18 
+6.0000000000000000e+00 -2.4022695926906836e-02 +6.7646605275220863e-05 +1.7020772190388597e-02 -2.0231337580945015e+00 +4.5196049831890047e+05 -2.8665181221361357e+08 +2.5294100148078802e+08 -1.6557602021125034e+12 -1.6002724553878555e+12 -1.5370413543482270e+15 +1.7858155442308338e+19 
+6.1000000000000005e+00 -2.4022683045431745e-02 +7.2242315954339301e-05 +1.7329851152947457e-02 -2.5781231846565000e+00 +4.5201106841982296e+05 -2.8922227154692245e+08 +4.7194351783840263e+08 -1.6280958701677932e+12 -3.6171002241269536e+12 -1.6207168896786142e+15 +4.9943749608889991e+19 
+6.2000000000000002e+00 -2.4022668170832914e-02 +7.5947553850925893e-05 +1.7507902180415549e-02 -3.1354434608322541e+00 +4.5206841106216161e+05 -2.9194438321730882e+08 +7.0418004352877450e+08 -1.5997526995898909e+12 -5.7901474202950986e+12 -1.7030997524765432e+15 +8.5292073206607315e+19 
+6.3000000000000007e+00 -2.4022651500111153e-02 +7.8560753506996768e-05 +1.7592001750452356e-02 -3.6705362688868002e+00 +4.5213041831706662e+05 -2.9477664118465549e+08 +9.3844161385956728e+08 -1.5709472427363071e+12 -8.0102246832719941e+12 -1.7842602167063530e+15 +1.2202673686872215e+20 
+6.4000000000000004e+00 -2.4022633230266537e-02 +7.9880349652206264e-05 +1.7619226375843851e-02 -4.1588432987549506e+00 +4.5219498224261502e+05 -2.9767753899633509e+08 +1.1635192660464938e+09 -1.5418960561939751e+12 -1.0168142667240385e+13 -1.8642685425179118e+15 +1.5827135140405828e+20 
+6.5000000000000000e+00 -2.4022613558291821e-02 +7.9704775717002129e-05 +1.7626649870471734e-02 -4.5758061775623142e+00 +4.5225999505531340e+05 -3.0060557341609335e+08 +1.3682040164922328e+09 -1.5128156701652808e+12 -1.2154711842735244e+13 -1.9431950651991082e+15 +1.9214952485672822e+20 
+6.6000000000000005e+00 -2.4022592681188653e-02 +7.7832467182870944e-05 +1.7651349077895614e-02 -4.8968666333973641e+00 +4.5232334879883646e+05 -3.0351923775070733e+08 +1.5412869158889024e+09 -1.4839226429572551e+12 -1.3860742985445076e+13 -2.0211100404756748e+15 +2.2178486992369323e+20 
+6.7000000000000002e+00 -2.4022570795948155e-02 +7.4061857464612953e-05 +1.7730397413771321e-02 -5.0974662915941940e+00 +4.5238293570842856e+05 -3.0637702909493136e+08 +1.6715589795223641e+09 -1.4554335023015391e+12 -1.5177046554383354e+13 -2.0980838102116625e+15 +2.4530099443774040e+20 
+6.8000000000000007e+00 -2.4022548099569260e-02 +6.8191380646042801e-05 +1.7900870844972879e-02 -5.1530468091659509e+00 +4.5243664787664916e+05 -3.0913744171965361e+08 +1.7478112333186383e+09 -1.4275647987420933e+12 -1.5994433103420855e+13 -2.1741866519578148e+15 +2.6082150768641678e+20 
+6.9000000000000004e+00 -2.4022524789054679e-02 +6.0019471328680060e-05 +1.8199846456403043e-02 -5.0390498717074363e+00 +4.5248237734053889e+05 -3.1175896889994085e+08 +1.7588347136318996e+09 -1.4005330902543423e+12 -1.6203713280554432e+13 -2.2494888236165980e+15 +2.6647002041382496e+20 
+7.0000000000000000e+00 -2.4022501061397829e-02 +4.9344564037171672e-05 +1.8664398498677147e-02 -4.7309171609495202e+00 +4.5251801628497732e+05 -3.1420010669038016e+08 +1.6934204556095033e+09 -1.3745549131959878e+12 -1.5695697723640684e+13 -2.3240606423077275e+15 +2.6037014322615937e+20 
+7.1000000000000005e+00 -2.4022477047017893e-02 +3.6131051458260745e-05 +1.9306082657481662e-02 -4.2165692606692629e+00 +4.5254275165543420e+05 -3.1644130314644343e+08 +1.5452390116873767e+09 -1.3497152636464922e+12 -1.4407037328479264e+13 -2.3981404152795900e+15 +2.4140002548844377e+20 
+7.2000000000000002e+00 -2.4022452610033766e-02 +2.1007163966168507e-05 +2.0034379846433692e-02 -3.5338426323628354e+00 +4.5256094945615658e+05 -3.1855081459183931e+08 +1.3274791016219304e+09 -1.3255729743990686e+12 -1.2457744912815859e+13 -2.4726384170408575e+15 +2.1145598551221250e+20 
+7.3000000000000007e+00 -2.4022427547985115e-02 +4.7670904830118762e-06 +2.0733250994302486e-02 -2.7330526618124074e+00 +4.5257827052367933e+05 -3.2061885068030912e+08 +1.0582089712915660e+09 -1.3015553276892161e+12 -1.0013673634687570e+13 -2.5486329403423870e+15 +1.7318888170605216e+20 
+7.4000000000000004e+00 -2.4022401658404999e-02 -1.1794980347787937e-05 +2.1286654794899749e-02 -1.8645147197230001e+00 +4.5260037581690378e+05 -3.2273562342487144e+08 +7.5549686079069448e+08 -1.2770895871419236e+12 -7.2406765985972295e+12 -2.6272023293421160e+15 +1.2924957161617121e+20 
+7.5000000000000000e+00 -2.4022374738835880e-02 -2.7884859198417003e-05 +2.1578552925589294e-02 -9.7854421399966840e-01 +4.5263292613642866e+05 -3.2499134184305751e+08 +4.3741102398846924e+08 -1.2516030397204072e+12 -4.3046070345659609e+12 -2.7094248642931840e+15 +8.2288914762814341e+19 
+7.6000000000000005e+00 -2.4022346586821661e-02 -4.2708357196680130e-05 +2.1492907783171141e-02 -1.2545652414335445e-01 +4.5268158223702438e+05 -3.2747621399502599e+08 +1.2201970326622982e+08 -1.2245229803283064e+12 -1.3713180657851804e+12 -2.7963788027458830e+15 +3.4957768944068006e+19 
+7.7000000000000002e+00 -2.4022316999892684e-02 -5.5471285382063804e-05 +2.0913677178355163e-02 +6.4443296033946273e-01 +4.5275200512506062e+05 -3.3028045279642653e+08 -1.7260885369140202e+08 -1.1952766655444441e+12 +1.3933371322488296e+12 -2.8891425081658835e+15 -1.0093007136295145e+19 
+7.8000000000000007e+00 -2.4022285775588220e-02 -6.5379454645239369e-05 +1.9724821730942074e-02 +1.2808088454662099e+00 +4.5284985565917759e+05 -3.3349426839275765e+08 -4.2840639879316187e+08 -1.1632913733570234e+12 +3.8235053837715181e+12 -2.9887942857989105e+15 -5.0212554845781254e+19 
+7.9000000000000004e+00 -2.4022252711451184e-02 -7.1638677112618952e-05 +1.7810303441115186e-02 +1.7333557986399333e+00 +4.5298079461695743e+05 -3.3720786929173505e+08 -6.2730470493377078e+08 -1.1279943951168320e+12 +5.7533336999385527e+12 -3.0964124030257460e+15 -8.2750018402341421e+19 
+8.0000000000000000e+00 -2.4022217605022173e-02 -7.3454762066785359e-05 +1.5054083603645718e-02 +1.9517583428213268e+00 +4.5315048281361989e+05 -3.4151146471929520e+08 -7.5123549438462424e+08 -1.0888130165340636e+12 +7.0169686371575000e+12 -3.2130751427824600e+15 -1.0505453500074810e+20 
+8.0999999999999996e+00 -2.4022180359861336e-02 -7.0317457972044901e-05 +1.1398093114363843e-02 +1.9016141756820526e+00 +4.5336183931760612e+05 -3.4645100503929466e+08 -7.8733743473929608e+08 -1.0454621662791696e+12 +7.4951802209549893e+12 -3.3392558782351460e+15 -1.1520233004783701e+20 
+8.2000000000000011e+00 -2.4022141303646567e-02 -6.2852258621166516e-05 +7.0161559034132509e-03 +1.6121731035680034e+00 +4.5360681537126692e+05 -3.5189538849987143e+08 -7.4357676431491709e+08 -9.9880747916415698e+11 +7.2552304520011914e+12 -3.4730079665433010e+15 -1.1417795222610164e+20 
+8.3000000000000007e+00 -2.4022100870078424e-02 -5.1968593633398766e-05 +2.1400666030375087e-03 +1.1285979368839707e+00 +4.5387462041078997e+05 -3.5766925336398107e+08 -6.3312660681659424e+08 -9.5000224166279187e+11 +6.4110042613225479e+12 -3.6117798314380115e+15 -1.0369303010118818e+20 
+8.4000000000000004e+00 -2.4022059492861951e-02 -3.8575892938540677e-05 -2.9983784631521623e-03 +4.9605150117402474e-01 +4.5415446377202449e+05 -3.6359723584565061e+08 -4.6916009136208194e+08 -9.0019975711938477e+11 +5.0763866292445000e+12 -3.7530198484807510e+15 -8.5459193017739854e+19 
+8.5000000000000000e+00 -2.4022017605696642e-02 -2.3583587983169675e-05 -8.1673850900825466e-03 -2.4030329991864482e-01 +4.5443555491640151e+05 -3.6950397471840209e+08 -2.6485037441360429e+08 -8.5055330784219360e+11 +3.3652627811294351e+12 -3.8941764532028400e+15 -6.1188074087238451e+19 
