# multipoles
# s[mm] polynom_a[n=0][T/m^n] polynom_a[n=1][T/m^n] polynom_a[n=2][T/m^n] polynom_a[n=3][T/m^n] polynom_a[n=4][T/m^n] polynom_a[n=6][T/m^n] polynom_a[n=7][T/m^n] polynom_a[n=8][T/m^n] polynom_a[n=9][T/m^n] polynom_a[n=10][T/m^n] polynom_a[n=13][T/m^n] 
+0.0000000000000000e+00 -2.4023193400399663e-02 +1.4305334065059766e-04 +9.7393503026709603e-03 -1.4878082919625972e+00 +4.5353981818841049e+05 -3.2474274081553650e+08 -9.8002054847971773e+08 -1.3362186810461687e+12 +1.0530534710600900e+13 -2.3930342493373815e+15 -1.6953069900188307e+20 
+1.0000000000000001e-01 -2.4023194547763319e-02 +1.4163239863913715e-04 +9.7419733982309614e-03 -1.4841736166975319e+00 +4.5354044646030600e+05 -3.2483356645286924e+08 -9.6481859697915304e+08 -1.3345976059046982e+12 +1.0368147533104170e+13 -2.4005607878298930e+15 -1.6682041181102205e+20 
+2.0000000000000001e-01 -2.4023197687368453e-02 +1.3780095749039363e-04 +9.7707117464891566e-03 -1.4761937283675803e+00 +4.5354060116005846e+05 -3.2505015073181540e+08 -9.2270634843965125e+08 -1.3303792004177859e+12 +9.9195688676533516e+12 -2.4207439730379345e+15 -1.5934626533316287e+20 
+3.0000000000000004e-01 -2.4023202365474301e-02 +1.3220609415573692e-04 +9.8568647626321396e-03 -1.4682548140594174e+00 +4.5353768734831258e+05 -3.2530865931583691e+08 -8.5892421848749495e+08 -1.3245306575226355e+12 +9.2426730745819590e+12 -2.4499892629865820e+15 -1.4809333312380289e+20 
+4.0000000000000002e-01 -2.4023208128337730e-02 +1.2549488531838520e-04 +1.0031731216513027e-02 -1.4647430476398022e+00 +4.5352911011752795e+05 -3.2552525844343120e+08 -7.7871262743819141e+08 -1.3180191658152000e+12 +8.3953345568543564e+12 -2.4847021273187880e+15 -1.3404668941186425e+20 
+5.0000000000000000e-01 -2.4023214522220514e-02 +1.1831440858905402e-04 +1.0326611468922803e-02 -1.4700446503020632e+00 +4.5351227447293996e+05 -3.2561611265559012e+08 -6.8731197860164559e+08 -1.3118119274248052e+12 +7.4354275631012070e+12 -2.5212879979162470e+15 -1.1819140600542762e+20 
+6.0000000000000009e-01 -2.4023221093385189e-02 +1.1131174041616488e-04 +1.0772806034744609e-02 -1.4885457843643872e+00 +4.5348458541541785e+05 -3.2549738646772915e+08 -5.8996269611586452e+08 -1.3068761443257214e+12 +6.4208265298293184e+12 -2.5561523078697950e+15 -1.0151255763203924e+20 
+7.0000000000000007e-01 -2.4023227388085308e-02 +1.0513395823892064e-04 +1.1401612570854369e-02 -1.5246326597004054e+00 +4.5344344809756411e+05 -3.2508524726459944e+08 -4.9190518843835944e+08 -1.3041789961574680e+12 +5.4094057553821299e+12 -2.5857005513706655e+15 -8.4995216943638725e+19 
+8.0000000000000004e-01 -2.4023232952592719e-02 +1.0042813859891541e-04 +1.2244334783126122e-02 -1.5826914457302741e+00 +4.5338626734318642e+05 -3.2429585611035627e+08 -3.9837987620782381e+08 -1.3046877123615344e+12 +4.4590396420016143e+12 -2.6063380850835495e+15 -6.9624458078470980e+19 
+9.0000000000000002e-01 -2.4023237333155662e-02 +9.7841359119528047e-05 +1.3332268596737336e-02 -1.6671083626580252e+00 +4.5331044839772728e+05 -3.2304538215532851e+08 -3.1462716386187887e+08 -1.3093694587828496e+12 +3.6276024507437114e+12 -2.6144704410376855e+15 -5.6385353086421336e+19 
