--- multipoles on reference trajectory (rz > 0) ---
effective_length:                   75.04711099996855 mm
perpendicular_grid:                 41 points in [-12.000000,+12.000000] mm
max_fitting_error_normal            1.725/3277.687 G/G
max_fitting_error_skew              0.516/0.611 G/G
r0_for_relative_multipoles          12 mm
main_monomial                       n = 2, skew:False
                                       Nn(s=0)      Integ_Nn     Nn/N0(@r0)   |    Sn(s=0)      Integ_Sn     Sn/S0(@r0)  
<multipole_order n>                    [T/m^n]      [T.m/m^n]        []       |    [T/m^n]      [T.m/m^n]        []      
n=00:                                1.8304e-05    -4.9241e-07   +1.8440e-05  |  1.4509e-07    -5.4159e-08   +2.0282e-06 
n=01:                                    ---           ---           ---      |  7.8037e-01    -6.1940e-02   +2.7835e-02 
n=02:                                2.4710e+03    -1.8544e+02   +1.0000e+00  |  1.6553e-02    +1.0946e-02   -5.9026e-05 
n=03:                                    ---           ---           ---      |  3.4012e+03    +2.4847e+02   -1.6079e-02 
n=04:                                5.6352e+03    +9.7118e+01   -7.5415e-05  |  8.4673e+02    -4.4222e+02   +3.4339e-04 
n=06:                                1.0720e+08    -1.7902e+06   +2.0018e-04  |  1.6101e+07    +7.1652e+06   -8.0121e-04 
n=07:                                    ---           ---           ---      |  8.2155e+09    -5.2611e+08   +7.0596e-04 
n=08:                                3.2226e+12    +1.7840e+11   -2.8725e-03  |  1.1645e+11    -5.0154e+10   +8.0758e-04 
n=09:                                    ---           ---           ---      |  1.6962e+13    -1.9305e+12   +3.7301e-04 
n=10:                                    ---           ---           ---      |  2.3666e+14    +1.2755e+14   -2.9575e-04 
n=13:                                    ---           ---           ---      |  1.4124e+20    +7.7472e+18   -3.1041e-05 
n=14:                                3.9360e+23    -3.0591e+22   +1.4708e-03  |      ---           ---           ---     
