# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=6][T/m^n] polynom_b[n=8][T/m^n] polynom_b[n=14][T/m^n] 
+0.0000000000000000e+00 -1.5774137223445450e-04 -2.4675774342490008e+03 -5.4236555153035952e+03 +5.4460034151106864e+07 +3.4852662110826372e+12 -4.1434740036457250e+23 
+1.0000000000000001e-01 -1.5774514862020603e-04 -2.4675763062135411e+03 -5.4834788066011033e+03 +5.5531423275271215e+07 +3.4790063530789341e+12 -4.1389674177722948e+23 
+2.0000000000000001e-01 -1.5775533668061761e-04 -2.4675733233283513e+03 -5.6407639026100896e+03 +5.8339471890018053e+07 +3.4626440848881147e+12 -4.1272800086513194e+23 
+3.0000000000000004e-01 -1.5777022474341103e-04 -2.4675690874368984e+03 -5.8622329925669137e+03 +6.2274990898155540e+07 +3.4398054249165112e+12 -4.1111603353302722e+23 
+4.0000000000000002e-01 -1.5778810113713137e-04 -2.4675642003815806e+03 -6.1146083290692040e+03 +6.6728792279219858e+07 +3.4141163858049189e+12 -4.0933569535366934e+23 
+5.0000000000000000e-01 -1.5780725418189671e-04 -2.4675592640071777e+03 -6.3646120530384924e+03 +7.1091686275025517e+07 +3.3892029891266631e+12 -4.0766184239573751e+23 
+6.0000000000000009e-01 -1.5782597215064352e-04 -2.4675548801735708e+03 -6.5789655698537736e+03 +7.4754471472783476e+07 +3.3686913169821387e+12 -4.0636933413321244e+23 
+7.0000000000000007e-01 -1.5784254348956788e-04 -2.4675516506858212e+03 -6.7243929721550094e+03 +7.7107989361327752e+07 +3.3562072271712388e+12 -4.0573301723817356e+23 
+8.0000000000000004e-01 -1.5785525642500939e-04 -2.4675501774187082e+03 -6.7676149203897912e+03 +7.7543026434716672e+07 +3.3553768658671997e+12 -4.0602775493846086e+23 
+9.0000000000000002e-01 -1.5786239931527780e-04 -2.4675510622050738e+03 -6.6753541473163523e+03 +7.5450402498044252e+07 +3.3698262041256055e+12 -4.0752840035736281e+23 
+1.0000000000000000e+00 -1.5786226049821156e-04 -2.4675549068846099e+03 -6.4143330322702504e+03 +7.0220931495032951e+07 +3.4031812445308096e+12 -4.1050980851464814e+23 
+1.1000000000000001e+00 -1.5785374240342919e-04 -2.4675620736023925e+03 -5.9647262644432021e+03 +6.1492331884619795e+07 +3.4575926773578755e+12 -4.1513277547203110e+23 
+1.2000000000000002e+00 -1.5783820382799470e-04 -2.4675719657290811e+03 -5.3605174200312849e+03 +4.9889932736983806e+07 +3.5293099898511191e+12 -4.2110186489076478e+23 
+1.3000000000000000e+00 -1.5781761780561202e-04 -2.4675837468957616e+03 -4.6491445744927050e+03 +3.6286002506967835e+07 +3.6131071747781909e+12 -4.2800757106937282e+23 
+1.4000000000000001e+00 -1.5779395731106198e-04 -2.4675965807530292e+03 -3.8780448240612809e+03 +2.1552793756116141e+07 +3.7037583090392305e+12 -4.3544039322530461e+23 
+1.5000000000000000e+00 -1.5776919522809794e-04 -2.4676096309776622e+03 -3.0946540381934888e+03 +6.5625399876311589e+06 +3.7960375673556680e+12 -4.4299083598604590e+23 
+1.6000000000000001e+00 -1.5774530456806769e-04 -2.4676220612084476e+03 -2.3464098932791280e+03 -7.8124969730512425e+06 +3.8847189782028823e+12 -4.5024939580666553e+23 
+1.7000000000000002e+00 -1.5772425831209937e-04 -2.4676330350941830e+03 -1.6807495660162490e+03 -2.0700063354768775e+07 +3.9645766124092114e+12 -4.5680657157895380e+23 
+1.8000000000000000e+00 -1.5770802933209668e-04 -2.4676417163141268e+03 -1.1451088353591756e+03 -3.1227926793646745e+07 +4.0303846495666714e+12 -4.6225286810398921e+23 
+1.9000000000000001e+00 -1.5769859069930534e-04 -2.4676472684902405e+03 -7.8692615558489160e+02 -3.8523813472741403e+07 +4.0769170568917446e+12 -4.6617877846912951e+23 
